label,sentence1,sentence2
1,Living the high life!,expensive lifestyle
0,Living the high life!,Proper Noun
0,Living the high life!,Meta Usage
1,"My life is less of this,” he says as scenes roll showing Leonardo DiCaprio living the high life in the Hamptons as Jordan Belfort, the former trader who was ultimately convicted in 1999 of felonies related to stock-market manipulation, “and more of this.”",expensive lifestyle
0,"My life is less of this,” he says as scenes roll showing Leonardo DiCaprio living the high life in the Hamptons as Jordan Belfort, the former trader who was ultimately convicted in 1999 of felonies related to stock-market manipulation, “and more of this.”",Proper Noun
0,"My life is less of this,” he says as scenes roll showing Leonardo DiCaprio living the high life in the Hamptons as Jordan Belfort, the former trader who was ultimately convicted in 1999 of felonies related to stock-market manipulation, “and more of this.”",Meta Usage
1,"Back in 1876, no one could work out how Belknap, this modestly paid Secretary of War, was living the high life on his government salary.",expensive lifestyle
0,"Back in 1876, no one could work out how Belknap, this modestly paid Secretary of War, was living the high life on his government salary.",Proper Noun
0,"Back in 1876, no one could work out how Belknap, this modestly paid Secretary of War, was living the high life on his government salary.",Meta Usage
1,"Despite having the riches to afford the high life, PSG captain Marquinhos is still in touch with his past life before becoming a multi-millionaire footballer.",expensive lifestyle
0,"Despite having the riches to afford the high life, PSG captain Marquinhos is still in touch with his past life before becoming a multi-millionaire footballer.",Proper Noun
0,"Despite having the riches to afford the high life, PSG captain Marquinhos is still in touch with his past life before becoming a multi-millionaire footballer.",Meta Usage
0,"We encourage you to invest carefully and read the investor information available at the website of the U.S. Securities and Exchange Commission at www.sec.gov, where you can also find all of World High Life’s filings and disclosures.",expensive lifestyle
1,"We encourage you to invest carefully and read the investor information available at the website of the U.S. Securities and Exchange Commission at www.sec.gov, where you can also find all of World High Life’s filings and disclosures.",Proper Noun
0,"We encourage you to invest carefully and read the investor information available at the website of the U.S. Securities and Exchange Commission at www.sec.gov, where you can also find all of World High Life’s filings and disclosures.",Meta Usage
1,"On the other hand, it’s not like promising people 100,000 yen is going to make them less likely to have kids, and the proposal at least sounds more realistic than trying to pump up the birth rate by having artificial intelligence programs pick out spouses for people or simply relying on parents to nag their adult children into procreating.",birth statistic
0,"On the other hand, it’s not like promising people 100,000 yen is going to make them less likely to have kids, and the proposal at least sounds more realistic than trying to pump up the birth rate by having artificial intelligence programs pick out spouses for people or simply relying on parents to nag their adult children into procreating.",Proper Noun
0,"On the other hand, it’s not like promising people 100,000 yen is going to make them less likely to have kids, and the proposal at least sounds more realistic than trying to pump up the birth rate by having artificial intelligence programs pick out spouses for people or simply relying on parents to nag their adult children into procreating.",Meta Usage
1,"The government has ""found it will be difficult to reverse the low birth rate trend in the near future” and so will be adopting a ""two track” approach of encouraging births, while finding ways to adjust the economy to a shrinking and aging population, according to a joint statement from 11 ministries on Wednesday.",birth statistic
0,"The government has ""found it will be difficult to reverse the low birth rate trend in the near future” and so will be adopting a ""two track” approach of encouraging births, while finding ways to adjust the economy to a shrinking and aging population, according to a joint statement from 11 ministries on Wednesday.",Proper Noun
0,"The government has ""found it will be difficult to reverse the low birth rate trend in the near future” and so will be adopting a ""two track” approach of encouraging births, while finding ways to adjust the economy to a shrinking and aging population, according to a joint statement from 11 ministries on Wednesday.",Meta Usage
1,"Many misunderstand the relationship among a low birth rate, aging population and negative population growth.",birth statistic
0,"Many misunderstand the relationship among a low birth rate, aging population and negative population growth.",Proper Noun
0,"Many misunderstand the relationship among a low birth rate, aging population and negative population growth.",Meta Usage
1,Minister of Family and Social Policy Marlena Malag ascribed the high death rate to the pandemic and said it would take a long time for the current government program of family benefits intended to boost the birth rate to reverse the negative trend.,birth statistic
0,Minister of Family and Social Policy Marlena Malag ascribed the high death rate to the pandemic and said it would take a long time for the current government program of family benefits intended to boost the birth rate to reverse the negative trend.,Proper Noun
0,Minister of Family and Social Policy Marlena Malag ascribed the high death rate to the pandemic and said it would take a long time for the current government program of family benefits intended to boost the birth rate to reverse the negative trend.,Meta Usage
1,"There may be an increase in the birth rate in the first half of this year, Lynch says, ""because that would relate to the earlier part of lockdown in 2020, when people thought that the lockdown would be a much more insignificant thing and that coronavirus was going to be a more insignificant thing than it turned out to be.",birth statistic
0,"There may be an increase in the birth rate in the first half of this year, Lynch says, ""because that would relate to the earlier part of lockdown in 2020, when people thought that the lockdown would be a much more insignificant thing and that coronavirus was going to be a more insignificant thing than it turned out to be.",Proper Noun
0,"There may be an increase in the birth rate in the first half of this year, Lynch says, ""because that would relate to the earlier part of lockdown in 2020, when people thought that the lockdown would be a much more insignificant thing and that coronavirus was going to be a more insignificant thing than it turned out to be.",Meta Usage
0,"Humble and hardworking, Hank was often overlooked until he started chasing Babe Ruth’s home run record, at which point he began receiving death threats and racist letters — letters he would reread decades later to remind himself ‘not to be surprised or hurt.’ Those letters changed Hank, but they didn’t stop him,"" he said.",house run
1,"Humble and hardworking, Hank was often overlooked until he started chasing Babe Ruth’s home run record, at which point he began receiving death threats and racist letters — letters he would reread decades later to remind himself ‘not to be surprised or hurt.’ Those letters changed Hank, but they didn’t stop him,"" he said.",baseball run
0,"Humble and hardworking, Hank was often overlooked until he started chasing Babe Ruth’s home run record, at which point he began receiving death threats and racist letters — letters he would reread decades later to remind himself ‘not to be surprised or hurt.’ Those letters changed Hank, but they didn’t stop him,"" he said.",Proper Noun
0,"Humble and hardworking, Hank was often overlooked until he started chasing Babe Ruth’s home run record, at which point he began receiving death threats and racist letters — letters he would reread decades later to remind himself ‘not to be surprised or hurt.’ Those letters changed Hank, but they didn’t stop him,"" he said.",Meta Usage
0,"Hank Aaron's home run record exposed America,"" says Harry Edwards, the famed sociologist and activist who helped organize the Black power salute at the 1968 Olympics, ""and the steepness of the hill to be climbed.""",house run
1,"Hank Aaron's home run record exposed America,"" says Harry Edwards, the famed sociologist and activist who helped organize the Black power salute at the 1968 Olympics, ""and the steepness of the hill to be climbed.""",baseball run
0,"Hank Aaron's home run record exposed America,"" says Harry Edwards, the famed sociologist and activist who helped organize the Black power salute at the 1968 Olympics, ""and the steepness of the hill to be climbed.""",Proper Noun
0,"Hank Aaron's home run record exposed America,"" says Harry Edwards, the famed sociologist and activist who helped organize the Black power salute at the 1968 Olympics, ""and the steepness of the hill to be climbed.""",Meta Usage
0,Aaron broke Ruth's record with his 715th home run for the Atlanta Braves in 1974 in former President Jimmy Carter's native Georgia.,house run
1,Aaron broke Ruth's record with his 715th home run for the Atlanta Braves in 1974 in former President Jimmy Carter's native Georgia.,baseball run
0,Aaron broke Ruth's record with his 715th home run for the Atlanta Braves in 1974 in former President Jimmy Carter's native Georgia.,Proper Noun
0,Aaron broke Ruth's record with his 715th home run for the Atlanta Braves in 1974 in former President Jimmy Carter's native Georgia.,Meta Usage
0,"So Aaron faced the same brutal racism other Black players of the era experienced, especially as the slugger approached Ruth’s home run record.",house run
1,"So Aaron faced the same brutal racism other Black players of the era experienced, especially as the slugger approached Ruth’s home run record.",baseball run
0,"So Aaron faced the same brutal racism other Black players of the era experienced, especially as the slugger approached Ruth’s home run record.",Proper Noun
0,"So Aaron faced the same brutal racism other Black players of the era experienced, especially as the slugger approached Ruth’s home run record.",Meta Usage
0,An effective public service must be contextualized with clear and transparent employment modalities to deliver continuous reassessment of the required mix of skills and competences.,service helping people
1,An effective public service must be contextualized with clear and transparent employment modalities to deliver continuous reassessment of the required mix of skills and competences.,public help 
