index	prediction
0	0
1	1
2	0
3	0
4	1
5	1
6	0
7	0
8	0
9	1
10	0
11	0
12	1
13	1
14	1
15	0
16	1
17	1
18	0
19	1
20	1
21	1
22	1
23	1
24	1
25	0
26	0
27	0
28	1
29	0
30	0
31	1
32	0
33	1
34	1
35	1
36	1
37	0
38	1
39	1
40	1
41	0
42	1
43	1
44	1
45	1
46	1
47	1
48	0
49	0
50	0
51	1
52	0
53	0
54	1
55	0
56	0
57	1
58	1
59	1
60	1
61	0
62	0
63	1
64	1
65	0
66	0
67	0
68	0
69	0
70	1
71	0
72	0
73	1
74	0
75	0
76	0
77	0
78	1
79	1
80	1
81	1
82	1
83	0
84	1
85	1
86	1
87	1
88	0
89	1
90	0
91	1
92	1
93	0
94	1
95	1
96	1
97	1
98	1
99	1
100	1
101	1
102	1
103	0
104	1
105	1
106	0
107	0
108	1
109	1
110	1
111	0
112	0
113	1
114	1
115	1
116	1
117	1
118	1
119	1
120	1
121	1
122	0
123	0
124	0
125	0
126	1
127	0
128	1
129	0
130	1
131	1
132	1
133	1
134	1
135	0
136	0
137	1
138	0
139	1
140	0
141	0
142	0
143	1
144	0
145	0
146	1
147	0
148	0
149	0
150	0
151	0
152	1
153	0
154	0
155	1
156	1
157	0
158	1
159	0
160	1
161	1
162	1
163	1
164	1
165	1
166	1
167	1
168	0
169	1
170	1
171	0
172	1
173	1
174	1
175	0
176	1
177	1
178	0
179	1
180	1
181	1
182	1
183	0
184	1
185	1
186	1
187	1
188	0
189	1
190	1
191	1
192	1
193	1
194	1
195	0
196	1
197	1
198	1
199	1
200	1
201	0
202	0
203	0
204	0
205	1
206	0
207	1
208	1
209	0
210	1
211	1
212	0
213	1
214	1
215	1
216	0
217	0
218	0
219	1
220	1
221	0
222	1
223	1
224	1
225	1
226	1
227	0
228	1
229	1
230	0
231	0
232	1
233	0
234	0
235	1
236	1
237	0
238	0
239	0
240	1
241	0
242	1
243	0
244	0
245	0
246	0
247	1
248	1
249	1
250	1
251	1
252	1
253	1
254	0
255	1
256	1
257	0
258	0
259	0
260	0
261	0
262	1
263	0
264	1
265	1
266	1
267	1
268	1
269	1
270	1
271	1
272	1
273	1
274	0
275	1
276	1
277	0
278	1
279	0
280	0
281	0
282	1
283	0
284	1
285	0
286	1
287	1
288	1
289	0
290	0
291	1
292	0
293	1
294	0
295	1
296	0
297	0
298	1
299	1
300	0
301	0
302	1
303	1
304	0
305	1
306	1
307	0
308	0
309	1
310	1
311	0
312	1
313	1
314	1
315	0
316	1
317	1
318	0
319	0
320	1
321	0
322	0
323	0
324	0
325	0
326	0
327	1
328	0
329	0
330	1
331	0
332	0
333	0
334	1
335	0
336	1
337	1
338	1
339	0
340	1
341	1
342	1
343	1
344	1
345	1
346	0
347	1
348	1
349	1
350	1
351	0
352	1
353	1
354	1
355	1
356	1
357	0
358	1
359	1
360	0
361	1
362	0
363	1
364	1
365	1
366	0
367	0
368	0
369	1
370	1
371	1
372	1
373	1
374	1
375	0
376	1
377	1
378	0
379	1
380	1
381	0
382	0
383	1
384	1
385	0
386	0
387	0
388	1
389	1
390	1
391	1
392	1
393	1
394	0
395	1
396	1
397	0
398	0
399	1
400	0
401	1
402	0
403	0
404	1
405	1
406	1
407	0
408	1
409	0
410	1
411	0
412	0
413	1
414	0
415	0
416	0
417	1
418	1
419	1
420	1
421	0
422	0
423	0
424	1
425	0
426	1
427	0
428	1
429	1
430	1
431	0
432	0
433	1
434	1
435	1
436	0
437	1
438	1
439	1
440	1
441	0
442	0
443	0
444	1
445	1
446	0
447	1
448	1
449	1
450	1
451	0
452	1
453	1
454	1
455	1
456	0
457	0
458	0
459	1
460	1
461	1
462	1
463	1
464	1
465	1
466	1
467	1
468	0
469	1
470	1
471	1
472	1
473	0
474	0
475	0
476	1
477	0
478	1
479	0
480	1
481	1
482	1
483	0
484	0
485	0
486	1
487	1
488	1
489	1
490	1
491	1
492	0
493	0
494	0
495	0
496	0
497	1
498	1
499	1
500	1
501	0
502	1
503	1
504	1
505	1
506	1
507	0
508	1
509	1
510	1
511	1
512	1
513	1
514	0
515	1
516	1
517	0
518	1
519	0
520	0
521	1
522	1
523	0
524	0
525	0
526	0
527	0
528	1
529	1
530	1
531	1
532	1
533	1
534	0
535	1
536	1
537	0
538	0
539	1
540	0
541	1
542	1
543	1
544	1
545	1
546	1
547	1
548	1
549	0
550	0
551	1
552	0
553	1
554	1
555	1
556	1
557	0
558	1
559	1
560	1
561	0
562	0
563	0
564	1
565	0
566	1
567	1
568	1
569	0
570	1
571	1
572	1
573	1
574	1
575	1
576	0
577	1
578	0
579	1
580	1
581	1
582	1
583	0
584	0
585	1
586	0
587	0
588	1
589	1
590	0
591	1
592	0
593	0
594	1
595	1
596	0
597	1
598	0
599	1
600	1
601	1
602	0
603	1
604	1
605	0
606	0
607	0
608	0
609	1
610	0
611	0
612	0
613	0
614	0
615	1
616	0
617	0
618	1
619	1
620	0
621	0
622	1
623	1
624	1
625	1
626	0
627	0
628	1
629	1
630	1
631	1
632	1
633	0
634	1
635	1
636	1
637	1
638	1
639	1
640	1
641	1
642	1
643	1
644	1
645	1
646	1
647	1
648	0
649	1
650	1
651	1
652	1
653	1
654	1
655	0
656	1
657	1
658	1
659	1
660	1
661	1
662	1
663	1
664	0
665	1
666	1
667	0
668	0
669	1
670	1
671	0
672	1
673	1
674	0
675	1
676	1
677	1
678	0
679	1
680	0
681	1
682	1
683	0
684	0
685	1
686	1
687	1
688	0
689	1
690	1
691	1
692	1
693	1
694	1
695	1
696	1
697	1
698	0
699	1
700	0
701	1
702	1
703	1
704	1
705	1
706	1
707	0
708	0
709	1
710	0
711	1
712	1
713	1
714	1
715	1
716	1
717	1
718	0
719	0
720	1
721	1
722	0
723	1
724	1
725	1
726	1
727	1
728	1
729	1
730	0
731	0
732	0
733	1
734	1
735	0
736	1
737	1
738	0
739	0
740	1
741	1
742	1
743	0
744	1
745	1
746	1
747	1
748	1
749	1
750	0
751	1
752	1
753	1
754	1
755	1
756	1
757	1
758	1
759	1
760	1
761	1
762	0
763	0
764	0
765	0
766	1
767	0
768	1
769	1
770	1
771	1
772	1
773	1
774	0
775	1
776	1
777	0
778	1
779	1
780	1
781	1
782	0
783	0
784	1
785	1
786	1
787	1
788	1
789	0
790	1
791	1
792	1
793	1
794	1
795	1
796	1
797	0
798	0
799	1
800	0
801	1
802	1
803	0
804	1
805	0
806	0
807	0
808	1
809	1
810	0
811	0
812	0
813	1
814	0
815	0
816	0
817	1
818	0
819	0
820	1
821	0
822	1
823	1
824	1
825	1
826	1
827	0
828	1
829	0
830	1
831	1
832	1
833	1
834	1
835	1
836	1
837	0
838	0
839	0
840	0
841	1
842	1
843	0
844	1
845	1
846	1
847	0
848	0
849	0
850	1
851	1
852	1
853	1
854	1
855	1
856	1
857	1
858	1
859	1
860	1
861	1
862	1
863	0
864	1
865	1
866	1
867	0
868	1
869	1
870	1
871	1
872	1
873	0
874	1
875	1
876	1
877	1
878	1
879	1
880	1
881	1
882	0
883	1
884	0
885	1
886	1
887	0
888	1
889	1
890	0
891	1
892	0
893	0
894	1
895	1
896	0
897	0
898	1
899	1
900	0
901	0
902	1
903	0
904	1
905	1
906	0
907	0
908	0
909	1
910	0
911	1
912	1
913	0
914	0
915	0
916	1
917	0
918	1
919	0
920	1
921	1
922	1
923	0
924	1
925	1
926	1
927	1
928	0
929	1
930	1
931	1
932	1
933	0
934	1
935	1
936	0
937	1
938	1
939	1
940	0
941	1
942	0
943	1
944	1
945	1
946	1
947	0
948	1
949	0
950	0
951	1
952	1
953	1
954	0
955	1
956	1
957	0
958	1
959	1
960	1
961	1
962	1
963	1
964	1
965	0
966	0
967	1
968	1
969	1
970	1
971	1
972	1
973	0
974	0
975	1
976	1
977	1
978	0
979	1
980	1
981	0
982	0
983	0
984	1
985	0
986	1
987	0
988	0
989	0
990	0
991	1
992	1
993	1
994	1
995	1
996	1
997	1
998	1
999	1
1000	1
1001	1
1002	0
1003	1
1004	1
1005	0
1006	0
1007	0
1008	0
1009	1
1010	1
1011	1
1012	0
1013	1
1014	1
1015	1
1016	0
1017	0
1018	1
1019	1
1020	1
1021	1
1022	1
1023	1
1024	1
1025	1
1026	1
1027	0
1028	1
1029	1
1030	1
1031	0
1032	0
1033	1
1034	1
1035	0
1036	1
1037	1
1038	1
1039	0
1040	1
1041	1
1042	1
1043	1
1044	1
1045	0
1046	1
1047	1
1048	0
1049	1
1050	0
1051	1
1052	1
1053	1
1054	0
1055	1
1056	0
1057	0
1058	1
1059	1
1060	1
