label,sentence1,sentence2
1,"PSG ace Marquinhos owns this £170k Ferrari - but hardly drives itCredit: PA:Press Association Despite having the riches to afford the high life, PSG captain Marquinhos is still in touch with his past life before becoming a multi-millionaire footballer. In an interview with the French magazine 'So Foot' reported by RMC Sport, he said: ""I bought it when I arrived at PSG, but it's true that I use it very little.",expensive lifestyle
0,"PSG ace Marquinhos owns this £170k Ferrari - but hardly drives itCredit: PA:Press Association Despite having the riches to afford the high life, PSG captain Marquinhos is still in touch with his past life before becoming a multi-millionaire footballer. In an interview with the French magazine 'So Foot' reported by RMC Sport, he said: ""I bought it when I arrived at PSG, but it's true that I use it very little.",Proper Noun
0,"PSG ace Marquinhos owns this £170k Ferrari - but hardly drives itCredit: PA:Press Association Despite having the riches to afford the high life, PSG captain Marquinhos is still in touch with his past life before becoming a multi-millionaire footballer. In an interview with the French magazine 'So Foot' reported by RMC Sport, he said: ""I bought it when I arrived at PSG, but it's true that I use it very little.",Meta Usage
1,"Demography expert Piotr Szukalski told Dziennik Gazeta Prawna he thinks that deep concerns about the spread of the coronavirus are to blame. Minister of Family and Social Policy Marlena Malag ascribed the high death rate to the pandemic and said it would take a long time for the current government program of family benefits intended to boost the birth rate to reverse the negative trend. Commenting on data the state agency Statistics Poland released in December for 11 months of 2020, economist Rafal Mundry said the number of deaths was the highest since World War II, and the number of births the lowest in 15 years.",birth statistic
0,"Demography expert Piotr Szukalski told Dziennik Gazeta Prawna he thinks that deep concerns about the spread of the coronavirus are to blame. Minister of Family and Social Policy Marlena Malag ascribed the high death rate to the pandemic and said it would take a long time for the current government program of family benefits intended to boost the birth rate to reverse the negative trend. Commenting on data the state agency Statistics Poland released in December for 11 months of 2020, economist Rafal Mundry said the number of deaths was the highest since World War II, and the number of births the lowest in 15 years.",Proper Noun
0,"Demography expert Piotr Szukalski told Dziennik Gazeta Prawna he thinks that deep concerns about the spread of the coronavirus are to blame. Minister of Family and Social Policy Marlena Malag ascribed the high death rate to the pandemic and said it would take a long time for the current government program of family benefits intended to boost the birth rate to reverse the negative trend. Commenting on data the state agency Statistics Poland released in December for 11 months of 2020, economist Rafal Mundry said the number of deaths was the highest since World War II, and the number of births the lowest in 15 years.",Meta Usage
0,"Negro Leagues Baseball Museum President Bob Kendrick on Friday reminded fans that Aaron broke with the Milwaukee Braves in 1954, just seven years after Jackie Robinson shattered the color line with the Brooklyn Dodgers. So Aaron faced the same brutal racism other Black players of the era experienced, especially as the slugger approached Ruth’s home run record. This Black man in the deep South was about to break a record that no one really thought could ever be broken and that was not wearing well on a lot of (white) people,” Kendrick told the MLB Network, shortly after getting word of Aaron's passing.",house run
1,"Negro Leagues Baseball Museum President Bob Kendrick on Friday reminded fans that Aaron broke with the Milwaukee Braves in 1954, just seven years after Jackie Robinson shattered the color line with the Brooklyn Dodgers. So Aaron faced the same brutal racism other Black players of the era experienced, especially as the slugger approached Ruth’s home run record. This Black man in the deep South was about to break a record that no one really thought could ever be broken and that was not wearing well on a lot of (white) people,” Kendrick told the MLB Network, shortly after getting word of Aaron's passing.",baseball run
0,"Negro Leagues Baseball Museum President Bob Kendrick on Friday reminded fans that Aaron broke with the Milwaukee Braves in 1954, just seven years after Jackie Robinson shattered the color line with the Brooklyn Dodgers. So Aaron faced the same brutal racism other Black players of the era experienced, especially as the slugger approached Ruth’s home run record. This Black man in the deep South was about to break a record that no one really thought could ever be broken and that was not wearing well on a lot of (white) people,” Kendrick told the MLB Network, shortly after getting word of Aaron's passing.",Proper Noun
0,"Negro Leagues Baseball Museum President Bob Kendrick on Friday reminded fans that Aaron broke with the Milwaukee Braves in 1954, just seven years after Jackie Robinson shattered the color line with the Brooklyn Dodgers. So Aaron faced the same brutal racism other Black players of the era experienced, especially as the slugger approached Ruth’s home run record. This Black man in the deep South was about to break a record that no one really thought could ever be broken and that was not wearing well on a lot of (white) people,” Kendrick told the MLB Network, shortly after getting word of Aaron's passing.",Meta Usage
