label,sentence1,sentence2
0,"Anunciado como um esforço de resposta do governo federal ao momento mais grave da pandemia no Brasil, o Comitê de Coordenação Nacional para Enfrentando da Pandemia da Covid-19 deve ter sua terceira reunião na quarta-feira, 28, em meio à repercussão do início da CPI da Covid-19 no Senado. O colegiado, formado por representantes dos três Poderes, tende a ficar cada vez mais em segundo plano com os trabalhos da CPI roubando as atenções. O próprio comitê, contudo, já nasceu desacreditado.",nível secundário
1,"Anunciado como um esforço de resposta do governo federal ao momento mais grave da pandemia no Brasil, o Comitê de Coordenação Nacional para Enfrentando da Pandemia da Covid-19 deve ter sua terceira reunião na quarta-feira, 28, em meio à repercussão do início da CPI da Covid-19 no Senado. O colegiado, formado por representantes dos três Poderes, tende a ficar cada vez mais em segundo plano com os trabalhos da CPI roubando as atenções. O próprio comitê, contudo, já nasceu desacreditado.",prioridade secundária
0,"Anunciado como um esforço de resposta do governo federal ao momento mais grave da pandemia no Brasil, o Comitê de Coordenação Nacional para Enfrentando da Pandemia da Covid-19 deve ter sua terceira reunião na quarta-feira, 28, em meio à repercussão do início da CPI da Covid-19 no Senado. O colegiado, formado por representantes dos três Poderes, tende a ficar cada vez mais em segundo plano com os trabalhos da CPI roubando as atenções. O próprio comitê, contudo, já nasceu desacreditado.",executar de fundo
0,"Anunciado como um esforço de resposta do governo federal ao momento mais grave da pandemia no Brasil, o Comitê de Coordenação Nacional para Enfrentando da Pandemia da Covid-19 deve ter sua terceira reunião na quarta-feira, 28, em meio à repercussão do início da CPI da Covid-19 no Senado. O colegiado, formado por representantes dos três Poderes, tende a ficar cada vez mais em segundo plano com os trabalhos da CPI roubando as atenções. O próprio comitê, contudo, já nasceu desacreditado.",Proper Noun
0,"Anunciado como um esforço de resposta do governo federal ao momento mais grave da pandemia no Brasil, o Comitê de Coordenação Nacional para Enfrentando da Pandemia da Covid-19 deve ter sua terceira reunião na quarta-feira, 28, em meio à repercussão do início da CPI da Covid-19 no Senado. O colegiado, formado por representantes dos três Poderes, tende a ficar cada vez mais em segundo plano com os trabalhos da CPI roubando as atenções. O próprio comitê, contudo, já nasceu desacreditado.",Meta Usage
0,"""A al-Qaeda reorientou sua estratégia para focar nas alianças com tribos e clãs, se aproveitando de desavenças locais e regionais em Estados fracassados e territórios sem lei"", aponta documento, sublinhando ainda o plano de “reconstruir, de forma paciente e quieta” as redes internacionais de outros tempos. Por isso, mesmo em segundo plano, o governo americano segue atento ao jihadismo global. Agora, sem uma guerra ao terror no sentido clássico, mas com ações focadas na inteligência e operações pontuais de contraterrorismo.",nível secundário
1,"""A al-Qaeda reorientou sua estratégia para focar nas alianças com tribos e clãs, se aproveitando de desavenças locais e regionais em Estados fracassados e territórios sem lei"", aponta documento, sublinhando ainda o plano de “reconstruir, de forma paciente e quieta” as redes internacionais de outros tempos. Por isso, mesmo em segundo plano, o governo americano segue atento ao jihadismo global. Agora, sem uma guerra ao terror no sentido clássico, mas com ações focadas na inteligência e operações pontuais de contraterrorismo.",prioridade secundária
0,"""A al-Qaeda reorientou sua estratégia para focar nas alianças com tribos e clãs, se aproveitando de desavenças locais e regionais em Estados fracassados e territórios sem lei"", aponta documento, sublinhando ainda o plano de “reconstruir, de forma paciente e quieta” as redes internacionais de outros tempos. Por isso, mesmo em segundo plano, o governo americano segue atento ao jihadismo global. Agora, sem uma guerra ao terror no sentido clássico, mas com ações focadas na inteligência e operações pontuais de contraterrorismo.",executar de fundo
0,"""A al-Qaeda reorientou sua estratégia para focar nas alianças com tribos e clãs, se aproveitando de desavenças locais e regionais em Estados fracassados e territórios sem lei"", aponta documento, sublinhando ainda o plano de “reconstruir, de forma paciente e quieta” as redes internacionais de outros tempos. Por isso, mesmo em segundo plano, o governo americano segue atento ao jihadismo global. Agora, sem uma guerra ao terror no sentido clássico, mas com ações focadas na inteligência e operações pontuais de contraterrorismo.",Proper Noun
0,"""A al-Qaeda reorientou sua estratégia para focar nas alianças com tribos e clãs, se aproveitando de desavenças locais e regionais em Estados fracassados e territórios sem lei"", aponta documento, sublinhando ainda o plano de “reconstruir, de forma paciente e quieta” as redes internacionais de outros tempos. Por isso, mesmo em segundo plano, o governo americano segue atento ao jihadismo global. Agora, sem uma guerra ao terror no sentido clássico, mas com ações focadas na inteligência e operações pontuais de contraterrorismo.",Meta Usage
0,"Para tanto, basta ter as versões mais recentes dos sistemas do celular (iOS 14.5) e do smartwatch (watchOS 7.4). A partir daí, a tecnologia do Face ID fica em segundo plano para que o desbloqueio do smartphone seja mais veloz. Para desbloquear o celular usando máscara, o Apple Watch precisa estar protegido com um código de bloqueio (PIN), desbloqueado e próximo do iPhone.",nível secundário
0,"Para tanto, basta ter as versões mais recentes dos sistemas do celular (iOS 14.5) e do smartwatch (watchOS 7.4). A partir daí, a tecnologia do Face ID fica em segundo plano para que o desbloqueio do smartphone seja mais veloz. Para desbloquear o celular usando máscara, o Apple Watch precisa estar protegido com um código de bloqueio (PIN), desbloqueado e próximo do iPhone.",prioridade secundária
1,"Para tanto, basta ter as versões mais recentes dos sistemas do celular (iOS 14.5) e do smartwatch (watchOS 7.4). A partir daí, a tecnologia do Face ID fica em segundo plano para que o desbloqueio do smartphone seja mais veloz. Para desbloquear o celular usando máscara, o Apple Watch precisa estar protegido com um código de bloqueio (PIN), desbloqueado e próximo do iPhone.",executar de fundo
0,"Para tanto, basta ter as versões mais recentes dos sistemas do celular (iOS 14.5) e do smartwatch (watchOS 7.4). A partir daí, a tecnologia do Face ID fica em segundo plano para que o desbloqueio do smartphone seja mais veloz. Para desbloquear o celular usando máscara, o Apple Watch precisa estar protegido com um código de bloqueio (PIN), desbloqueado e próximo do iPhone.",Proper Noun
0,"Para tanto, basta ter as versões mais recentes dos sistemas do celular (iOS 14.5) e do smartwatch (watchOS 7.4). A partir daí, a tecnologia do Face ID fica em segundo plano para que o desbloqueio do smartphone seja mais veloz. Para desbloquear o celular usando máscara, o Apple Watch precisa estar protegido com um código de bloqueio (PIN), desbloqueado e próximo do iPhone.",Meta Usage
0,"O programa é gratuito e pode ser acessado por qualquer usuário. Entretanto, quem quiser se livrar das propagandas e continuar ouvindo a música em segundo plano, mesmo após minimizar a página do vídeo, precisará assinar o plano YouTube Music Premium. A assinatura também permite assistir ao conteúdo no formato PiP direto do aplicativo, sem que seja necessário acessar o site pelo navegador para obter o mini player na tela.",nível secundário
0,"O programa é gratuito e pode ser acessado por qualquer usuário. Entretanto, quem quiser se livrar das propagandas e continuar ouvindo a música em segundo plano, mesmo após minimizar a página do vídeo, precisará assinar o plano YouTube Music Premium. A assinatura também permite assistir ao conteúdo no formato PiP direto do aplicativo, sem que seja necessário acessar o site pelo navegador para obter o mini player na tela.",prioridade secundária
1,"O programa é gratuito e pode ser acessado por qualquer usuário. Entretanto, quem quiser se livrar das propagandas e continuar ouvindo a música em segundo plano, mesmo após minimizar a página do vídeo, precisará assinar o plano YouTube Music Premium. A assinatura também permite assistir ao conteúdo no formato PiP direto do aplicativo, sem que seja necessário acessar o site pelo navegador para obter o mini player na tela.",executar de fundo
0,"O programa é gratuito e pode ser acessado por qualquer usuário. Entretanto, quem quiser se livrar das propagandas e continuar ouvindo a música em segundo plano, mesmo após minimizar a página do vídeo, precisará assinar o plano YouTube Music Premium. A assinatura também permite assistir ao conteúdo no formato PiP direto do aplicativo, sem que seja necessário acessar o site pelo navegador para obter o mini player na tela.",Proper Noun
0,"O programa é gratuito e pode ser acessado por qualquer usuário. Entretanto, quem quiser se livrar das propagandas e continuar ouvindo a música em segundo plano, mesmo após minimizar a página do vídeo, precisará assinar o plano YouTube Music Premium. A assinatura também permite assistir ao conteúdo no formato PiP direto do aplicativo, sem que seja necessário acessar o site pelo navegador para obter o mini player na tela.",Meta Usage
1,"O voo esperado para 2021 prevê uma formatura ao lado do bombardeiro Tu-160, e será uma homenagem ao 76ª aniversário do fim da Segunda Guerra. Comemorado no dia 9 de maio, o desfile militar do Dia da Vitória se tornou um dos feriados mais importantes do calendário russo, servindo como elo de orgulho nacional, além de tradicionalmente ser a principal data para demonstrar ao mundo o poder bélico da Rússia. O desfile sempre conta com uma vasta variedade de aeronaves de asa fixa e rotativa, que realizam voos entre 200 e 500 metros de altitude.",parada militar
0,"O voo esperado para 2021 prevê uma formatura ao lado do bombardeiro Tu-160, e será uma homenagem ao 76ª aniversário do fim da Segunda Guerra. Comemorado no dia 9 de maio, o desfile militar do Dia da Vitória se tornou um dos feriados mais importantes do calendário russo, servindo como elo de orgulho nacional, além de tradicionalmente ser a principal data para demonstrar ao mundo o poder bélico da Rússia. O desfile sempre conta com uma vasta variedade de aeronaves de asa fixa e rotativa, que realizam voos entre 200 e 500 metros de altitude.",Proper Noun
0,"O voo esperado para 2021 prevê uma formatura ao lado do bombardeiro Tu-160, e será uma homenagem ao 76ª aniversário do fim da Segunda Guerra. Comemorado no dia 9 de maio, o desfile militar do Dia da Vitória se tornou um dos feriados mais importantes do calendário russo, servindo como elo de orgulho nacional, além de tradicionalmente ser a principal data para demonstrar ao mundo o poder bélico da Rússia. O desfile sempre conta com uma vasta variedade de aeronaves de asa fixa e rotativa, que realizam voos entre 200 e 500 metros de altitude.",Meta Usage
1,"A rainha Elizabeth II faz 95 anos em 21 de abril A rainha Elizabeth II ficará mais um ano sem o tradicional desfile militar para comemorar seu aniversário, cancelado pela segunda vez devido à pandemia de coronavírus, informou o Palácio de Buckingham nesta sexta-feira (19). A monarca faz 95 anos em 21 de abril, um evento que tradicionalmente é celebrado em junho com um grande desfile militar pelo centro de Londres, chamado de ""Trooping the colours"" (marchar com as bandeiras) e ao qual centenas de militares e milhares de espectadores comparecem.",parada militar
0,"A rainha Elizabeth II faz 95 anos em 21 de abril A rainha Elizabeth II ficará mais um ano sem o tradicional desfile militar para comemorar seu aniversário, cancelado pela segunda vez devido à pandemia de coronavírus, informou o Palácio de Buckingham nesta sexta-feira (19). A monarca faz 95 anos em 21 de abril, um evento que tradicionalmente é celebrado em junho com um grande desfile militar pelo centro de Londres, chamado de ""Trooping the colours"" (marchar com as bandeiras) e ao qual centenas de militares e milhares de espectadores comparecem.",Proper Noun
0,"A rainha Elizabeth II faz 95 anos em 21 de abril A rainha Elizabeth II ficará mais um ano sem o tradicional desfile militar para comemorar seu aniversário, cancelado pela segunda vez devido à pandemia de coronavírus, informou o Palácio de Buckingham nesta sexta-feira (19). A monarca faz 95 anos em 21 de abril, um evento que tradicionalmente é celebrado em junho com um grande desfile militar pelo centro de Londres, chamado de ""Trooping the colours"" (marchar com as bandeiras) e ao qual centenas de militares e milhares de espectadores comparecem.",Meta Usage
1,"A rainha Elizabeth II ficará mais um ano sem o tradicional desfile militar para comemorar seu aniversário, cancelado pela segunda vez devido à pandemia de coronavírus, informou o Palácio de Buckingham nesta sexta-feira (19). A monarca faz 95 anos em 21 de abril, um evento que tradicionalmente é celebrado em junho com um grande desfile militar pelo centro de Londres, chamado de ""Trooping the colours"" (marchar com as bandeiras) e ao qual centenas de militares e milhares de espectadores comparecem. Esta cerimônia tem sua origem nos preparativos da guerra que mostravam todas as bandeiras aos soldados para que pudessem reconhecê-las na confusão da batalha.",parada militar
