index	prediction
0	1
1	1
2	0
3	0
4	0
5	1
6	0
7	0
8	0
9	0
10	1
11	0
12	1
13	0
14	0
15	1
16	1
17	1
18	0
19	0
20	1
21	0
22	1
23	0
24	1
25	1
26	1
27	0
28	1
29	1
30	1
31	1
32	1
33	0
34	1
35	1
36	0
37	1
38	0
39	0
40	1
41	1
42	1
43	0
44	1
45	1
46	0
47	0
48	0
49	1
50	1
51	0
52	1
53	1
54	1
55	1
56	1
57	1
58	1
59	0
60	0
61	1
62	1
63	1
64	1
65	1
66	1
67	1
68	0
69	1
70	1
71	1
72	1
73	1
74	1
75	0
76	1
77	0
78	0
79	0
80	0
81	1
82	1
83	1
84	0
85	1
86	1
87	0
88	0
89	0
90	0
91	1
92	1
93	1
94	0
95	1
96	0
97	0
98	1
99	1
100	1
101	1
102	1
103	1
104	1
105	1
106	0
107	0
108	1
109	0
110	0
111	1
112	0
113	1
114	0
115	1
116	1
117	0
118	1
119	0
120	0
121	0
122	1
123	1
124	1
125	0
126	0
127	1
128	1
129	1
130	1
131	0
132	0
133	1
134	1
135	0
136	0
137	1
138	0
139	1
140	0
141	0
142	0
143	0
144	1
145	1
146	1
147	1
148	0
149	1
150	1
151	1
152	1
153	1
154	1
155	0
156	1
157	1
158	0
159	1
160	0
161	1
162	0
163	1
164	1
165	1
166	0
167	1
168	1
169	0
170	0
171	0
172	0
173	1
174	1
175	1
176	1
177	1
178	0
179	1
180	1
181	0
182	0
183	0
184	0
185	1
186	1
187	0
188	0
189	1
190	0
191	0
192	0
193	1
194	1
195	0
196	0
197	0
198	1
199	1
200	0
201	1
202	1
203	0
204	0
205	1
206	0
207	0
208	0
209	0
210	1
211	1
212	1
213	0
214	0
215	0
216	1
217	1
218	1
219	1
220	1
221	0
222	1
223	0
224	0
225	1
226	1
227	0
228	1
229	1
230	0
231	1
232	1
233	1
234	1
235	1
236	1
237	1
238	0
239	1
240	1
241	1
242	0
243	1
244	1
245	1
246	1
247	1
248	1
249	1
250	1
251	1
252	1
253	0
254	1
255	1
256	0
257	1
258	0
259	1
260	0
261	1
262	1
263	0
264	1
265	1
266	1
267	1
268	0
269	1
270	0
271	1
272	1
273	1
274	1
275	0
276	1
277	1
278	1
279	0
280	1
281	1
282	1
283	1
284	1
285	1
286	1
287	0
288	1
289	0
290	0
291	0
292	0
293	0
294	0
295	0
296	0
297	1
298	1
299	0
300	1
301	1
302	1
303	1
304	1
305	0
306	1
307	0
308	0
309	1
310	0
311	0
312	0
313	1
314	0
315	1
316	0
317	1
318	0
319	0
320	1
321	1
322	1
323	1
324	1
325	1
326	0
327	1
328	0
329	1
330	1
331	0
332	1
333	0
334	1
335	1
336	0
337	1
338	1
339	0
340	1
341	1
342	0
343	0
344	1
345	1
346	1
347	1
348	1
349	0
350	0
351	0
352	0
353	1
354	1
355	1
356	0
357	0
358	1
359	1
360	1
361	1
362	0
363	1
364	1
365	0
366	1
367	1
368	0
369	1
370	0
371	1
372	1
373	1
374	0
375	1
376	1
377	0
378	1
379	1
380	1
381	1
382	0
383	1
384	1
385	1
386	1
387	1
388	0
389	1
390	0
391	1
392	1
393	0
394	1
395	0
396	1
397	1
398	0
399	1
400	1
401	1
402	1
403	1
404	1
405	0
406	1
407	1
408	1
409	0
410	0
411	1
412	0
413	1
414	1
415	0
416	1
417	1
418	0
419	0
420	1
421	1
422	1
423	0
424	1
425	1
426	0
427	0
428	1
429	0
430	0
431	0
432	0
433	1
434	1
435	1
436	1
437	1
438	0
439	0
440	0
441	1
442	0
443	1
444	1
445	1
446	1
447	1
448	0
449	0
450	0
451	1
452	1
453	1
454	1
455	1
456	1
457	0
458	1
459	1
460	1
461	0
462	1
463	0
464	0
465	1
466	1
467	1
468	1
469	1
470	1
471	1
472	1
473	1
474	0
475	1
476	1
477	0
478	1
479	1
480	1
481	1
482	0
483	1
484	1
485	1
486	1
487	1
488	1
489	1
490	1
491	1
492	1
493	1
494	1
495	1
496	1
497	1
498	1
499	1
500	1
501	0
502	0
503	1
504	1
505	1
506	0
507	1
508	0
509	1
510	0
511	1
512	0
513	1
514	1
515	1
516	1
517	1
518	1
519	0
520	1
521	0
522	0
523	0
524	1
525	1
526	0
527	1
528	1
529	1
530	0
531	1
532	0
533	1
534	1
535	0
536	1
537	0
538	0
539	0
540	0
541	1
542	0
543	1
544	1
545	1
546	0
547	1
548	0
549	1
550	0
551	1
552	1
553	0
554	1
555	0
556	0
557	1
558	1
559	1
560	0
561	1
562	0
563	1
564	1
565	0
566	1
567	0
568	0
569	0
570	1
571	0
572	0
573	1
574	1
575	1
576	0
577	1
578	1
579	1
580	1
581	0
582	1
583	1
584	1
585	1
586	1
587	1
588	1
589	1
590	0
591	1
592	1
593	0
594	1
595	1
596	1
597	0
598	0
599	0
600	1
601	0
602	1
603	1
604	1
605	1
606	1
607	1
608	1
609	1
610	0
611	1
612	1
613	0
614	0
615	1
616	1
617	0
618	1
619	1
620	1
621	1
622	1
623	1
624	1
625	1
626	0
627	0
628	0
629	0
630	0
631	1
632	0
633	0
634	1
635	1
636	1
637	1
638	0
639	1
640	0
641	1
642	1
643	0
644	1
645	0
646	1
647	1
648	0
649	0
650	1
651	1
652	1
653	0
654	1
655	1
656	0
657	0
658	0
659	0
660	0
661	1
662	1
663	1
664	1
665	1
666	0
667	1
668	1
669	0
670	0
671	1
672	0
673	1
674	0
675	0
676	1
677	1
678	0
679	0
680	0
681	0
682	0
683	0
684	1
685	0
686	0
687	1
688	0
689	1
690	1
691	0
692	0
693	1
694	1
695	0
696	1
697	1
698	1
699	1
700	1
701	0
702	0
703	1
704	0
705	0
706	0
707	0
708	1
709	1
710	0
711	0
712	1
713	1
714	1
715	1
716	0
717	1
718	0
719	0
720	1
721	1
722	0
723	1
724	1
725	0
726	0
727	0
728	0
729	1
730	1
731	1
732	1
733	1
734	1
735	1
736	1
737	1
738	1
739	0
740	1
741	0
742	1
743	0
744	1
745	0
746	1
747	0
748	0
749	0
750	0
751	1
752	1
753	1
754	1
755	1
756	1
757	1
758	1
759	1
760	0
761	0
762	0
763	0
764	1
765	0
766	1
767	1
768	1
769	1
770	1
771	1
772	0
773	1
774	0
775	1
776	0
777	1
778	1
779	1
780	0
781	0
782	1
783	0
784	0
785	0
786	1
787	0
788	1
789	0
790	0
791	0
792	1
793	1
794	1
795	1
796	1
797	1
798	0
799	0
800	1
801	0
802	0
803	0
804	1
805	1
806	1
807	1
808	1
809	0
810	0
811	1
