label,sentence1,sentence2
0,"A partir daí, a tecnologia do Face ID fica em segundo plano para que o desbloqueio do smartphone seja mais veloz.",segundo plano
1,"Os ataques das forças de segurança ocorreram simultaneamente à comemoração do Dia das Forças Armadas, que vem sendo comemorado em Naypyidó com um desfile militar presidido por Min Aung Hlaing, 64 anos.",desfile militar
0,"Como em todo clássico, o sangue quente apareceu.",sangue quente
1,"Os tritilodontídeos em geral eram semelhantes aos mamíferos: eles provavelmente tinham sangue quente e várias características esqueléticas, especialmente com seus membros, que se alinhavam mais com o que os mamíferos tinham do que seus contemporâneos reptilianos.",sangue quente
1,"Segundo a empresa, a intenção foi construir um alto-falante potente, fino, que não ocupasse muito espaço na mobília e caso haja intenção, possa ser disfarçado como artigo de decoração.",alto-falante
0,O preço também varia para cima quando o destino está na alta temporada.,alta temporada
0,"Após o avistamento de um disco voador e seu misterioso passageiro, a história se divide em duas frentes.",disco voador
0,"O aumento da cobertura do benefício confere mais estabilidade financeira ao estudante”, destaca primeira-dama",primeira-dama
0,"O filme acompanha Gela Kolochovi, um caixeiro viajante que circula por uma regiao rural da Republica da Georgia.",caixeiro viajante
1,"Era um homem prático e objetivo”, orgulha-se Fábio, que se mudou para São Paulo em 1994, e trabalhou inicialmente como um caixeiro viajante, um representante comercial.",caixeiro viajante
0,"Ou as travas existem, mas quem deveria punir faz vista grossa?",vista grossa
0,"O sábio ia à frente, com os discípulos seguindo em silêncio atrás, em fila indiana (literalmente).",fila indiana
0,"É como se caísse em um limbo, um buraco negro"", declarou.",buraco negro
1,"No entanto, era um alarme falso: "" Anne tinha ido para o camarim por um minuto.",alarme falso
1,"Além disso, o governo federal tem o compromisso de não deixar obras paralisadas e de terminar empreendimentos em andamento.",governo federal
1,Parte deles acredita que as mudanças sinalizam uma tentativa de Jair Bolsonaro (sem partido) endurecer o regime político.,regime político
0,"É mais fácil achar um bode expiatório do que encontrar a real fonte, que é dentro das nossas casas"", completou.",bode expiatório
0,As publicações de Abboud estão costuradas por um fio condutor comum: a luta pela autonomia do direito e o reconhecimento de sua relevância para a manutenção de um Estado Constitucional.,fio condutor
1,"Essa corrente eletrica e coletada e migra, atraves de um circuito externo (como um fio condutor), para uma segunda camara onde ocorre uma reaçao quimica.",fio condutor
0,"O atual número dois do Itamaraty, que era braço direito do ex-ministro da pasta Ernesto Araújo, deverá ser sabatinado pela Comissão de Relações Exteriores (CRE), hoje presidida pela senadora Kátia Abreu (PP-TO).",braço direito
1,"Em ""O Braço Direito"" conhecemos a historia de Anselmo, um ex-investigador da Policia Civil que agora atua clandestinamente no Mercado de Açoes como o homem de confiança e ""faz-tudo"" de um magnata da Bovespa.",braço direito
0,Um cão de raça pastor alemão foi encontrado preso na parte de baixo de uma carrinha. ,pastor alemão
0,Meu sonho era colocar meu filho no Colégio Militar.,colégio militar
1,"Atualmente, ele trabalhava na Diretoria de Pessoal Militar (DPM), mas já serviu no Gtop 21. Também foi professor do Colégio Militar Tiradentes.",colégio militar
1,"Um cão policial tem muitas habilidades — detectar drogas, artigos ilícitos, ou pessoas —, mas farejando e encontrando rolo de papel higiênico, você já tinha visto?",papel higiênico
1,O HC está transformando sala cirúrgica em leito de UTI. ,sala cirúrgica
1,"A tecnologia está em análise desde 2014, mas o primeiro grande passo foi dado em fevereiro, às vésperas das celebrações do ano-novo lunar, quando o Banco Popular da China distribuiu, por sorteio, pacotes de 200 e-yuans (cerca de 170 reais) a dezenas de milhares de pessoas.",ano-novo
0,"Em uma frigideira, aqueça o óleo, frite rapidamente os feijões, tempere com sal e pimenta, finalize com o cheiro-verde.",cheiro-verde
0,O que se sabe com certeza sobre a roleta russa e que ela e uma referencia para escritores e produtores cinematograficos de todo o mundo.,roleta russa
1,"Na ausencia de evidencias empiricas suficientes, eles recorrem a sorte e a uma arma, realizando um experimento muito semelhante ao que hoje e amplamente conhecido como roleta russa, um misterioso ""jogo"" mortal envolto em misterio.",roleta russa
0,"Em comunicado, o centro comercial explica que ""desde a primeira hora adotou todas as medidas de higiene de segurança na prevenção à pandemia"".",centro comercial
1,"Com a participação dos Rotary Clubs de Barueri-Alphaville, Barueri-Tamboré, Carapicuíba, Osasco, Jandira-Santana de Parnaíba-Aldeia da Serra e Barueri-Centro Comercial Alphaville, o objetivo é reforçar os estoques do sistema de saúde, quase esgotados por causa do agravamento da pandemia do novo coronavírus.",centro comercial
0,"O fato é que algumas pessoas parecem ter o sexto sentido mais aguçado e, seja por meio de um frio na barriga, um pensamento repentino, um sonho ou uma sensação diferente, sabem o melhor caminho a seguir e a melhor escolha a fazer.",sexto sentido
0,"Ao contrário dos gastos comuns de política fiscal, acompanhamos nos Estados Unidos a compra de títulos públicos e privados por parte do Banco Central, o Federal Reserve, o que significou que muitos dos recursos utilizados pelo Governo para o combate à crise não foram totalmente alocados para os mais pobres, aqueles que consomem mais itens de primeira necessidade, o que causa impacto à inflação de maneira mais direta e severa.",primeira necessidade
1,"A participação no processo seletivo possui uma taxa de inscrição no valor de R53,00, para candidatos da comunidade, que deve ser paga via boleto.",processo seletivo
1,"Os cento e tantos átomos são, na verdade, arranjos de três partículas mais elementares --prótons e nêutrons aglutinados em um núcleo atômico, com elétrons orbitando esse núcleo.",núcleo atômico
1,O Garfos Restaurante trabalha com um cardapio baseado em comida caseira e visa oferecer refeiçoes de qualidade a um preço acessivel.,comida caseira
0,Briga por postagem em rede social termina em morte a tiros na Vila Margarida,rede social
0,"Em outro momento, voltando ao tema do impasse do Orçamento, ele reforçou que a busca é por uma solução, que a briga tem “mérito” e que “sempre, em grande rebanho, tem uma ovelha negra”.",ovelha negra
1,"Dia 30 é a vez de Julia Mestre subir ao palco com o repertório de Rita Lee, passeando por canções de diferentes períodos, como Ovelha Negra e Amor e Sexo.",ovelha negra
0,"Um empresário de Manaus topou esse desafio conosco do Campeonato Brasileiro feminino da A2 especificamente dessa competição e com esse sinal verde nós começamos a sondar algumas atletas e quando tivemos o sim de algumas jogadoras que já passaram pelo Iranduba nos momentos bons ali de 2016 e 2019, caso da Elisa, Vitória...aí nós vimos que conseguiríamos montar um bom time.",sinal verde
1,"Quando Lewis Hamilton, que fez bela prova de recuperação, recebeu o sinal verde para largar, a Globo era líder em São Paulo com 5,2 pontos de frente para a Band (8,1 a 2,9).",sinal verde
0,Livro aberto: Demi Lovato revelou a sua orientação sexual e como a descobriu,livro aberto
1,"A partir daí, a capa do último livro aberto será mostrada na tela sempre que o Kindle entrar em repouso.",livro aberto
0,"O ponto forte da história é um grande cientista com uma grande ideia, mas para um sucesso sustentado é necessário construir sistemas para gerenciar as informações e os dados”, diz ele.",ponto forte
0,"Já no dia 14 de abril, o casal Geraldo Lino e Nair Gerônimo, moradores de Jales, levaram até a Santa Casa a doação de café, feijão, arroz, leite integral, açúcar, biscoito de água e sal, cebolas, batatas e outros alimentos perecíveis.",leite integral
0,"Desafiados a reconfigurar toda a planta baixa e agregar cômodos mais proporcionais, os arquitetos do escritório NAME architecture criaram um terceiro quarto e banheiro.",planta baixa
1,"A ideia alinha-se em determinado grau aos movimentos e percepçoes propostos pelo experimento cenico ""Expediçao Planta Baixa"", do Coletivo Projeto Casa.",planta baixa
0,"Chegou o fim do ano e com ele as festas de Natal, de Ano Novo e, claro, o tradicional amigo secreto - ou amigo oculto, dependendo da região do Brasil.",amigo oculto
1,"Esta é a versão do app semelhante ao Amigo Oculto SMS, mas para quem tem iOS.",amigo oculto
1,"Ethan Renner (Kevin Costner), veterano agente secreto, está à beira da morte.",agente secreto
