label,sentence1,sentence2
0,"A partir daí, a tecnologia do Face ID fica em segundo plano para que o desbloqueio do smartphone seja mais veloz.",nível secundário
0,"A partir daí, a tecnologia do Face ID fica em segundo plano para que o desbloqueio do smartphone seja mais veloz.",prioridade secundária
1,"A partir daí, a tecnologia do Face ID fica em segundo plano para que o desbloqueio do smartphone seja mais veloz.",executar de fundo
0,"A partir daí, a tecnologia do Face ID fica em segundo plano para que o desbloqueio do smartphone seja mais veloz.",Proper Noun
0,"A partir daí, a tecnologia do Face ID fica em segundo plano para que o desbloqueio do smartphone seja mais veloz.",Meta Usage
1,"Os ataques das forças de segurança ocorreram simultaneamente à comemoração do Dia das Forças Armadas, que vem sendo comemorado em Naypyidó com um desfile militar presidido por Min Aung Hlaing, 64 anos.",parada militar
0,"Os ataques das forças de segurança ocorreram simultaneamente à comemoração do Dia das Forças Armadas, que vem sendo comemorado em Naypyidó com um desfile militar presidido por Min Aung Hlaing, 64 anos.",Proper Noun
0,"Os ataques das forças de segurança ocorreram simultaneamente à comemoração do Dia das Forças Armadas, que vem sendo comemorado em Naypyidó com um desfile militar presidido por Min Aung Hlaing, 64 anos.",Meta Usage
0,"Como em todo clássico, o sangue quente apareceu.",plasma cálido
1,"Como em todo clássico, o sangue quente apareceu.",raiva impulsiva
0,"Como em todo clássico, o sangue quente apareceu.",cheio de ardor
0,"Como em todo clássico, o sangue quente apareceu.",Proper Noun
0,"Como em todo clássico, o sangue quente apareceu.",Meta Usage
1,"Os tritilodontídeos em geral eram semelhantes aos mamíferos: eles provavelmente tinham sangue quente e várias características esqueléticas, especialmente com seus membros, que se alinhavam mais com o que os mamíferos tinham do que seus contemporâneos reptilianos.",plasma cálido
0,"Os tritilodontídeos em geral eram semelhantes aos mamíferos: eles provavelmente tinham sangue quente e várias características esqueléticas, especialmente com seus membros, que se alinhavam mais com o que os mamíferos tinham do que seus contemporâneos reptilianos.",raiva impulsiva
0,"Os tritilodontídeos em geral eram semelhantes aos mamíferos: eles provavelmente tinham sangue quente e várias características esqueléticas, especialmente com seus membros, que se alinhavam mais com o que os mamíferos tinham do que seus contemporâneos reptilianos.",cheio de ardor
0,"Os tritilodontídeos em geral eram semelhantes aos mamíferos: eles provavelmente tinham sangue quente e várias características esqueléticas, especialmente com seus membros, que se alinhavam mais com o que os mamíferos tinham do que seus contemporâneos reptilianos.",Proper Noun
0,"Os tritilodontídeos em geral eram semelhantes aos mamíferos: eles provavelmente tinham sangue quente e várias características esqueléticas, especialmente com seus membros, que se alinhavam mais com o que os mamíferos tinham do que seus contemporâneos reptilianos.",Meta Usage
1,"Segundo a empresa, a intenção foi construir um alto-falante potente, fino, que não ocupasse muito espaço na mobília e caso haja intenção, possa ser disfarçado como artigo de decoração.",caixa de som
0,"Segundo a empresa, a intenção foi construir um alto-falante potente, fino, que não ocupasse muito espaço na mobília e caso haja intenção, possa ser disfarçado como artigo de decoração.",Proper Noun
0,"Segundo a empresa, a intenção foi construir um alto-falante potente, fino, que não ocupasse muito espaço na mobília e caso haja intenção, possa ser disfarçado como artigo de decoração.",Meta Usage
0,O preço também varia para cima quando o destino está na alta temporada.,elevada época
1,O preço também varia para cima quando o destino está na alta temporada.,época de férias
0,O preço também varia para cima quando o destino está na alta temporada.,Proper Noun
0,O preço também varia para cima quando o destino está na alta temporada.,Meta Usage
0,"Após o avistamento de um disco voador e seu misterioso passageiro, a história se divide em duas frentes.",círculo voante
1,"Após o avistamento de um disco voador e seu misterioso passageiro, a história se divide em duas frentes.",ovni
0,"Após o avistamento de um disco voador e seu misterioso passageiro, a história se divide em duas frentes.",Proper Noun
0,"Após o avistamento de um disco voador e seu misterioso passageiro, a história se divide em duas frentes.",Meta Usage
0,"O aumento da cobertura do benefício confere mais estabilidade financeira ao estudante”, destaca primeira-dama",mulher inicial
1,"O aumento da cobertura do benefício confere mais estabilidade financeira ao estudante”, destaca primeira-dama",esposa de quem governa
0,"O aumento da cobertura do benefício confere mais estabilidade financeira ao estudante”, destaca primeira-dama",Proper Noun
0,"O aumento da cobertura do benefício confere mais estabilidade financeira ao estudante”, destaca primeira-dama",Meta Usage
0,"O filme acompanha Gela Kolochovi, um caixeiro viajante que circula por uma regiao rural da Republica da Georgia.",empregado viageiro
1,"O filme acompanha Gela Kolochovi, um caixeiro viajante que circula por uma regiao rural da Republica da Georgia.",vendedor ambulante
0,"O filme acompanha Gela Kolochovi, um caixeiro viajante que circula por uma regiao rural da Republica da Georgia.",Proper Noun
0,"O filme acompanha Gela Kolochovi, um caixeiro viajante que circula por uma regiao rural da Republica da Georgia.",Meta Usage
1,"Era um homem prático e objetivo”, orgulha-se Fábio, que se mudou para São Paulo em 1994, e trabalhou inicialmente como um caixeiro viajante, um representante comercial.",empregado viageiro
0,"Era um homem prático e objetivo”, orgulha-se Fábio, que se mudou para São Paulo em 1994, e trabalhou inicialmente como um caixeiro viajante, um representante comercial.",vendedor ambulante
0,"Era um homem prático e objetivo”, orgulha-se Fábio, que se mudou para São Paulo em 1994, e trabalhou inicialmente como um caixeiro viajante, um representante comercial.",Proper Noun
