sentence1,sentence2,label
"Em uma frigideira, aqueça o óleo, frite rapidamente os feijões, tempere com sal e pimenta, finalize com o cheiro-verde.",cheiro-verde,1
"Solte delicadamente o arroz com um garfo e junte a carne cozida reservada com o caldo, a mussarela e o cheiro-verde.",cheiro-verde,1
"Junte a tapioca, o cheiro-verde, o sal e misture.",cheiro-verde,1
Acrescente metade do cheiro-verde e reserve.,cheiro-verde,1
"Intercale bifes e pimentão, cebola e cheiro-verde até acabarem os ingredientes. ",cheiro-verde,1
"Ele relatou que quando chegou à residência, o universitário já estava em poder de um revólver calibre 38 e que, 'em dado momento', Cade Emanuel carregou a arma 'com uma munição', iniciando o jogo da roleta russa.",roleta russa,1
O que se sabe com certeza sobre a roleta russa e que ela e uma referencia para escritores e produtores cinematograficos de todo o mundo.,roleta russa,1
O caminhão também atingiu a central de gás de um prédio que fica ao lado do centro comercial.,centro comercial,1
"Com localização estratégica e por abrigar centros de distribuição de várias marcas, a cidade de Extrema, no Sul de Minas, foi escolhida pelo grupo WTorre para a instalação de um centro comercial.",centro comercial,1
A expectativa é de que o centro comercial esteja pronto no segundo semestre de 2022.,centro comercial,1
"Em comunicado, o centro comercial explica que ""desde a primeira hora adotou todas as medidas de higiene de segurança na prevenção à pandemia"".",centro comercial,1
"O fato é que algumas pessoas parecem ter o sexto sentido mais aguçado e, seja por meio de um frio na barriga, um pensamento repentino, um sonho ou uma sensação diferente, sabem o melhor caminho a seguir e a melhor escolha a fazer.",sexto sentido,1
Seu sexto sentido pode apitar especialmente para assuntos que envolvem infidelidade ou possíveis falhas sobre a confiança.,sexto sentido,1
Quem disse que lingerie não é ítem de primeira necessidade?,primeira necessidade,1
"Ao contrário dos gastos comuns de política fiscal, acompanhamos nos Estados Unidos a compra de títulos públicos e privados por parte do Banco Central, o Federal Reserve, o que significou que muitos dos recursos utilizados pelo Governo para o combate à crise não foram totalmente alocados para os mais pobres, aqueles que consomem mais itens de primeira necessidade, o que causa impacto à inflação de maneira mais direta e severa.",primeira necessidade,1
"Para João Galassi, presidente da ABRAS, a ação solidária é fundamental no momento em que uma parcela considerável da população brasileira não tem acesso pleno e permanente a alimentos e itens de primeira necessidade por conta da crise financeira agravada pela pandemia do coronavírus.",primeira necessidade,1
"Cada família pode escolher como vai gastar os 100 reais, adquirindo nos supermercados os alimentos e itens de primeira necessidade de sua preferência.",primeira necessidade,1
"Em 1907, voltou ao Reino Unido, para a Universidade de Manchester, onde realizou o famoso experimento com a folha de ouro (na verdade, ele utilizou folhas de diversos metais, mas a de ouro ganhou a fama) e descobriu o núcleo atômico, sua maior contribuição para a física. ",núcleo atômico,1
"Os cento e tantos átomos são, na verdade, arranjos de três partículas mais elementares --prótons e nêutrons aglutinados em um núcleo atômico, com elétrons orbitando esse núcleo.",núcleo atômico,1
"Compartilhada em rede social, a frase do médico João Antonio Ricco acompanha publicação com vídeo do momento em que comunicou melhora de paciente que estava enfrentando a covid-19.",rede social,1
Briga por postagem em rede social termina em morte a tiros na Vila Margarida,rede social,1
Como funciona a sala de áudio da rede social,rede social,1
"Em outro momento, voltando ao tema do impasse do Orçamento, ele reforçou que a busca é por uma solução, que a briga tem “mérito” e que “sempre, em grande rebanho, tem uma ovelha negra”.",ovelha negra,1
"A irmã mais nova, Anna (Mia Wasikowska), a ovelha negra da família, chega atrasada e acompanhada da namorada não binária, Chris (Bex Taylor-Klaus).",ovelha negra,1
"Por meio de câmeras com sensores, os semáforos detectam a quantidade de veículos em deslocamento e alteram o tempo do sinal verde em locais congestionados.",sinal verde,1
"Quando Lewis Hamilton, que fez bela prova de recuperação, recebeu o sinal verde para largar, a Globo era líder em São Paulo com 5,2 pontos de frente para a Band (8,1 a 2,9).",sinal verde,1
"""A retórica e as políticas do presidente Bolsonaro efetivamente deram sinal verde para os perigosos criminosos que atuam na Amazônia, permitindo que eles expandam muito suas atividades"", diz o texto, que tem entre seus signatários o presidente da Comissão de Relações Exteriores do Senado americano, Robert Menendez.",sinal verde,1
"Um empresário de Manaus topou esse desafio conosco do Campeonato Brasileiro feminino da A2 especificamente dessa competição e com esse sinal verde nós começamos a sondar algumas atletas e quando tivemos o sim de algumas jogadoras que já passaram pelo Iranduba nos momentos bons ali de 2016 e 2019, caso da Elisa, Vitória...aí nós vimos que conseguiríamos montar um bom time.",sinal verde,1
"A partir daí, a capa do último livro aberto será mostrada na tela sempre que o Kindle entrar em repouso.",livro aberto,1
"A peça feita em marmore claro traz um livro aberto com o salmo ""feliz a naçao cujo Deus e o Senhor"".",livro aberto,1
Livro aberto: Demi Lovato revelou a sua orientação sexual e como a descobriu,livro aberto,1
"O setor é o ponto forte do time neste início de temporada, assim como foi no decorrer da Série B do ano passado e também em recentes campanhas vitoriosas da Copa do Brasil.",ponto forte,1
"Em um editorial anexo [2], o professor Borja Ibáñez, diretor de pesquisa clínica do Centro Nacional de Investigaciones Cardiovasculares Carlos III, Madrid (Espanha), e colegas, que não estiveram envolvidos na pesquisa, escrevem que um ponto forte do estudo é que a carga de excitação foi medida objetivamente com monitores do sono, em vez de ser auto-relatada pelos participantes.",ponto forte,1
"O ponto forte da história é um grande cientista com uma grande ideia, mas para um sucesso sustentado é necessário construir sistemas para gerenciar as informações e os dados”, diz ele.",ponto forte,1
"Sei fazer dinheiro como ninguém, mas investir e trabalhar com o dinheiro que fiz, não sou eu essa pessoa”, diz Mayra, que deixa claro que investir não é o seu ponto forte.",ponto forte,1
"No dia anterior (19), Arthur Amadeu, representando Aparecida Garcia Amadeu, amigos e a família de Sandra Elena Garcia, realizou a doação de aproximadamente 793 quilos em alimentos, entre eles leite integral, café, feijão e açúcar e alimentos perecíveis suficientes para suprir o estoque pelos próximos 15 dias.",leite integral,1
"Já no dia 14 de abril, o casal Geraldo Lino e Nair Gerônimo, moradores de Jales, levaram até a Santa Casa a doação de café, feijão, arroz, leite integral, açúcar, biscoito de água e sal, cebolas, batatas e outros alimentos perecíveis.",leite integral,1
"Desafiados a reconfigurar toda a planta baixa e agregar cômodos mais proporcionais, os arquitetos do escritório NAME architecture criaram um terceiro quarto e banheiro.",planta baixa,1
"Lar de um jovem casal com um filho, o apartamento de 85 metros quadrados exalta um decor moderno e elegante, com e o aproveitamento milimetrico que agregou abrangencia a planta baixa.",planta baixa,1
"Na concepçao do projeto, explica que a criaçao de um pequeno hall, que por sua vez da acesso a sala, banheiro e dormitorio, deixou a planta baixa mais versatil.",planta baixa,1
"A amplitude pode ser considerada o motivo numero 1: com a elevaçao do volume de imoveis construidos com metragens reduzidas, conectar os ambientes e uma estrategia muito utilizada para conceber a sensaçao de uma planta baixa maior e muito bem aproveitada.",planta baixa,1
"Assim, é possível utilizá-lo para organizar o amigo oculto da família, dos amigos e do trabalho, por exemplo, sem precisar criar uma nova conta.",amigo oculto,1
"Chegou o fim do ano e com ele as festas de Natal, de Ano Novo e, claro, o tradicional amigo secreto - ou amigo oculto, dependendo da região do Brasil.",amigo oculto,1
"Pensando nisso, para diminuir a distância, um grupo de cinco adolescentes decidiu fazer uma espécie de “amigo oculto de lanches”.",amigo oculto,1
"Não se acredita mais que os dinossauros tenham sangue frio como os lagartos modernos, mas provavelmente não eram de sangue quente como os mamíferos.",sangue frio,1
"O texto de Brian Duffield (“Ameaça Profunda”) e Matthew Robinson (“Dora e a Cidade Perdida”) substitui zumbis por criaturas mutantes gigantes e muito ameaçadoras que tomaram conta do mundo após fragmentos radioativos de um cometa caírem na terra e modificar geneticamente todas as criaturas de sangue frio e insetos, relegando a humanidade a esconderijos subterrâneos.",sangue frio,1
"Irritado com a mentira, o líder desejará matar os dois personagens a sangue frio, mas temerá que o Todo-Poderoso se vingue.",sangue frio,1
"O novo Operador Wraith se junta à luta, uma assassina de sangue frio que aparece na narrativa cinemática que cerca a destruição da Verdansk que conhecemos.",sangue frio,1
"A zaga novamente deixou a desejar, mas o Flamengo teve sangue frio para virar o placar mesmo ficando duas vezes atrás no Forte de Liniers.",sangue frio,1
"O trader precisa ter o sangue frio de entender que aquela sua estratégia, bem sucedida ou mal sucedida, tem data e hora para acabar.",sangue frio,1
"O colegiado, formado por representantes dos três Poderes, tende a ficar cada vez mais em segundo plano com os trabalhos da CPI roubando as atenções.",segundo plano,1
"Por isso, mesmo em segundo plano, o governo americano segue atento ao jihadismo global.",segundo plano,1
"A partir daí, a tecnologia do Face ID fica em segundo plano para que o desbloqueio do smartphone seja mais veloz.",segundo plano,1
"Entretanto, quem quiser se livrar das propagandas e continuar ouvindo a música em segundo plano, mesmo após minimizar a página do vídeo, precisará assinar o plano YouTube Music Premium.",segundo plano,1
"Ele era um cara esquentado, de sangue quente, mas comigo, frio.",sangue quente,1
"Como em todo clássico, o sangue quente apareceu.",sangue quente,1
"Bem ao lado dos bossa-novistas, e mesmo dentre eles, Ed Lincoln, Durval Ferreira, Orlandivo, Miltinho, Eumir Deodato, Claudio Roditi, Emílio Santiago, Wilson das Neves, Elza Soares e mais um punhado de gente com sangue quente nas veias estavam mais dispostos a fazer as pessoas dançarem em uma boate entre 23h e 4h da manhã do que passarem dias em busca de acordes perfeitos e cantos ideais.",sangue quente,1
"Os tritilodontídeos em geral eram semelhantes aos mamíferos: eles provavelmente tinham sangue quente e várias características esqueléticas, especialmente com seus membros, que se alinhavam mais com o que os mamíferos tinham do que seus contemporâneos reptilianos.",sangue quente,1
"Se sangue quente e carne de pescoço lhe parecem indigestos, proponho a seguir outra analogia, mais lúdica.",sangue quente,1
"Faltando ainda dois meses para o período de alta temporada do turismo no distrito, é possível vivenciar o clima das montanhas com tarifas que chegam a ser 30% mais baixas do que no inverno.",alta temporada,1
"Consequentemente, as visitas a destinos alternativos se tornarão mais comuns para evitar viagens durante a alta temporada (52%) ou em lugares superlotados (59%).",alta temporada,1
"Era dezembro, alta temporada, depois desse ano difícil em que já havíamos passado quatro meses fechados, era complicado permanecer assim"", disse.",alta temporada,1
O preço também varia para cima quando o destino está na alta temporada.,alta temporada,1
"Ainda que as viagens fiquem aquecidas na primavera, de março a junho, e no início do outono, em setembro, o pico da alta temporada ocorre em julho e agosto.",alta temporada,1
"Após o avistamento de um disco voador e seu misterioso passageiro, a história se divide em duas frentes.",disco voador,1
"Entre as fotos dos finalistas, existe uma que retratou algo curioso: uma formação esbranquiçada e achatada, bastante semelhante a um disco voador, pairava acima da montanha El Chaltén.",disco voador,1
"Mas a narrativa moderna sobre óvnis tem raízes em 1947, quando um fazendeiro encontrou um objeto em Roswell, no Estado do Novo México, inicialmente descrito como um disco voador, mas depois atribuído a um programa secreto de balões para monitorar a União Soviética.",disco voador,1
"Pois bem, o que se vê nas imagens é o dirigível da empresa de pneus, que com uma luminosidade escura ficou parecido com um disco voador.",disco voador,1
"O governador Ronaldo Caiado, acompanhado pela coordenadora do Gabinete de Políticas Socais (GPS) e presidente de honra da Organização das Voluntárias de Goiás (OVG), primeira-dama Gracinha Caiado, lançou, nesta terça-feira (13/04) o primeiro edital de seleção para o Programa Universitário do Bem (ProBem), com a disponibilização de 5 mil bolsas.",primeira-dama,1
"A coordenadora do GPS e presidente de honra da OVG, primeira-dama Gracinha Caiado, disse que a falta de credibilidade da antiga gestão travou a parceria com as IES, já que 82 delas chegaram a ficar 13 meses sem receber.",primeira-dama,1
"Para a primeira-dama,  nesse momento dificil em que familias tem passado por situaçoes adversas todo ato de solidariedade e bem-vindo.",primeira-dama,1
"Fico feliz em ver que a primeira-dama de Chapada dos Guimaraes, Helia Mello, a prefeita de Caceres, Eliene Liberato, a secretaria de Assistencia Social de Tangara da Serra, Ana Adorno, a Policia Civil, por meio da Delegacia Regional de Rondonopolis, tambem aderiram a campanha e levaram para os municipios do interior, isso mostra o quanto povo mato-grossense e solidario e como podemos contar com todos"", ressalta Marcia.",primeira-dama,1
"O filme acompanha Gela Kolochovi, um caixeiro viajante que circula por uma regiao rural da Republica da Georgia.",caixeiro viajante,1
"Era um homem prático e objetivo”, orgulha-se Fábio, que se mudou para São Paulo em 1994, e trabalhou inicialmente como um caixeiro viajante, um representante comercial.",caixeiro viajante,1
"O livro conta a história de M e de seu pai D, caixeiro viajante, representante das peças de ferragens Kramp e responsável por levar a filha todos os dias à escola.",caixeiro viajante,1
"Ou as travas existem, mas quem deveria punir faz vista grossa?",vista grossa,1
Donald Trump fez vista grossa.,vista grossa,1
"O sábio ia à frente, com os discípulos seguindo em silêncio atrás, em fila indiana (literalmente).",fila indiana,1
"A artista devolve: ""Fila indiana"".",fila indiana,1
"Isso significa que a gravidade ali é tão intensa que, neste caso, temos a máxima conhecida de distorção de tempo no Universo: nas proximidades de um buraco negro, o tempo parece estar parado em relação à Terra.",buraco negro,1
"Eles combinaram os novos dados com dados ópticos obtidos anteriormente e perceberam que a nova medida resulta em um novo número para a massa do buraco negro: de 15 para 21 massas solares, aproximadamente.",buraco negro,1
"É como se caísse em um limbo, um buraco negro"", declarou.",buraco negro,1
"Ela escreveu, em publicação em sua conta no Twitter, que estão tentando transformar Araújo em “bode expiatório da República”.",bode expiatório,1
"É mais fácil achar um bode expiatório do que encontrar a real fonte, que é dentro das nossas casas"", completou.",bode expiatório,1
Também se queixaram de que o setor produtivo é sempre o bode expiatório de outras práticas que colaboram para o aumento dos preços.,bode expiatório,1
"Olhou para o GDC como um bode expiatório para desculpar sua falta de desempenho na aeronave para a Força Aérea dos Estados Unidos "", completou a GDC.",bode expiatório,1
"Bolsonaro se acha o Bode Expiatório de todos os problemas do país, lembrando que essa expressão, do cão danado, vem do levítico, do Dia da reconciliação.",bode expiatório,1
"Então, a corrente elétrica é coletada e levada, por meio de um circuito externo (um fio condutor, por exemplo), para a segunda câmara.",fio condutor,1
"Essa corrente eletrica e coletada e migra, atraves de um circuito externo (como um fio condutor), para uma segunda camara onde ocorre uma reaçao quimica.",fio condutor,1
As publicações de Abboud estão costuradas por um fio condutor comum: a luta pela autonomia do direito e o reconhecimento de sua relevância para a manutenção de um Estado Constitucional.,fio condutor,1
"Destrinchar a crise financeira do Vasco, resumida pela dívida de R$ 832 milhões, serve de fio condutor para entender os diferentes resultados alcançados pelos clubes brasileiros em 2020, ano marcado pela pandemia.",fio condutor,1
"O atual número dois do Itamaraty, que era braço direito do ex-ministro da pasta Ernesto Araújo, deverá ser sabatinado pela Comissão de Relações Exteriores (CRE), hoje presidida pela senadora Kátia Abreu (PP-TO).",braço direito,1
"Atualmente e sobretudo com a vinda da pandemia, a TI e o braço direito das organizaçoes, sem ela muitas organizaçoes nao teriam sobrevivido.",braço direito,1
"O corpo encontrado na manhã deste sábado, 03, por volta das 9h30 em uma região de lavrado na RR 205, estrada que dá acesso ao município de Alto Alegre, ainda não foi identificado, porém a reportagem da Folha teve acesso a uma foto em que aparece uma tatuagem no braço direito com os nomes: Antônia e Armando.",braço direito,1
"Segundo o Corpo de Bombeiros, Rafael estava com fratura exposta no braço direito, hemorragia e traumatismo craniano.",braço direito,1
