label,sentence1,sentence2
1,"Várias casas e prédios ao redor deste acampamento militar em Bata, capital econômica do país, ficaram destruídos e as ruas ficaram cheias de enormes escombros ao longo de centenas de metros, segundo imagens da emissora pública TVGE.",acampamento do exército
0,"Várias casas e prédios ao redor deste acampamento militar em Bata, capital econômica do país, ficaram destruídos e as ruas ficaram cheias de enormes escombros ao longo de centenas de metros, segundo imagens da emissora pública TVGE.",Proper Noun
0,"Várias casas e prédios ao redor deste acampamento militar em Bata, capital econômica do país, ficaram destruídos e as ruas ficaram cheias de enormes escombros ao longo de centenas de metros, segundo imagens da emissora pública TVGE.",Meta Usage
1,"Ao menos 15 pessoas morreram e mais de 500 ficaram feridas neste domingo (7) em explosões causadas por ""uma negligência"" que destruíram um acampamento militar e bairros próximos na Guiné Equatorial, anunciou o presidente Teodoro Obiang Nguema em um comunicado.",acampamento do exército
0,"Ao menos 15 pessoas morreram e mais de 500 ficaram feridas neste domingo (7) em explosões causadas por ""uma negligência"" que destruíram um acampamento militar e bairros próximos na Guiné Equatorial, anunciou o presidente Teodoro Obiang Nguema em um comunicado.",Proper Noun
0,"Ao menos 15 pessoas morreram e mais de 500 ficaram feridas neste domingo (7) em explosões causadas por ""uma negligência"" que destruíram um acampamento militar e bairros próximos na Guiné Equatorial, anunciou o presidente Teodoro Obiang Nguema em um comunicado.",Meta Usage
1,"As Mães do Terceiro Reich Em 1943, com a região da Alsácia, na França, anexada à Alemanha, jovens mulheres são levadas para um acampamento militar.",acampamento do exército
0,"As Mães do Terceiro Reich Em 1943, com a região da Alsácia, na França, anexada à Alemanha, jovens mulheres são levadas para um acampamento militar.",Proper Noun
0,"As Mães do Terceiro Reich Em 1943, com a região da Alsácia, na França, anexada à Alemanha, jovens mulheres são levadas para um acampamento militar.",Meta Usage
1,Explosões em acampamento militar deixam 20 mortos na Guiné Equatorial,acampamento do exército
0,Explosões em acampamento militar deixam 20 mortos na Guiné Equatorial,Proper Noun
0,Explosões em acampamento militar deixam 20 mortos na Guiné Equatorial,Meta Usage
1,"Varias casas e predios ao redor deste acampamento militar em Bata, capital economica do pais, ficaram destruidos e as ruas ficaram cheias de enormes escombros ao longo de centenas de metros, segundo imagens da emissora publica TVGE.",acampamento do exército
0,"Varias casas e predios ao redor deste acampamento militar em Bata, capital economica do pais, ficaram destruidos e as ruas ficaram cheias de enormes escombros ao longo de centenas de metros, segundo imagens da emissora publica TVGE.",Proper Noun
0,"Varias casas e predios ao redor deste acampamento militar em Bata, capital economica do pais, ficaram destruidos e as ruas ficaram cheias de enormes escombros ao longo de centenas de metros, segundo imagens da emissora publica TVGE.",Meta Usage
1,"Até dia 18 de setembro, investigadores da Romanarmy.eu vão estar no recinto fortificado de Lomba do Mouro, uma estrutura arqueológica de enormes dimensões localizada em 2017 e situada na fronteira entre Portugal e a Galiza, nos concelhos de Melgaço (Portugal) e de Verea (Ourense), com o objetivo de validarem a hipótese de que se trata de um acampamento militar romano de caráter temporário.",acampamento do exército
0,"Até dia 18 de setembro, investigadores da Romanarmy.eu vão estar no recinto fortificado de Lomba do Mouro, uma estrutura arqueológica de enormes dimensões localizada em 2017 e situada na fronteira entre Portugal e a Galiza, nos concelhos de Melgaço (Portugal) e de Verea (Ourense), com o objetivo de validarem a hipótese de que se trata de um acampamento militar romano de caráter temporário.",Proper Noun
0,"Até dia 18 de setembro, investigadores da Romanarmy.eu vão estar no recinto fortificado de Lomba do Mouro, uma estrutura arqueológica de enormes dimensões localizada em 2017 e situada na fronteira entre Portugal e a Galiza, nos concelhos de Melgaço (Portugal) e de Verea (Ourense), com o objetivo de validarem a hipótese de que se trata de um acampamento militar romano de caráter temporário.",Meta Usage
1,"O acampamento militar fazia parte do Failaq al-Sham, um dos maiores grupos contra Bashar al-Assad , que são apoiados pela Turquia, explicou Youssef Hammoud , porta-voz do grupo.",acampamento do exército
