original,correct,incorrect,idiom
"Em uma frigideira, aqueça o óleo, frite rapidamente os feijões, tempere com sal e pimenta, finalize com o cheiro-verde.","Em uma frigideira, aqueça o óleo, frite rapidamente os feijões, tempere com sal e pimenta, finalize com o tempero.","Em uma frigideira, aqueça o óleo, frite rapidamente os feijões, tempere com sal e pimenta, finalize com o odor esverdeado.",cheiro-verde
"Solte delicadamente o arroz com um garfo e junte a carne cozida reservada com o caldo, a mussarela e o cheiro-verde.","Solte delicadamente o arroz com um garfo e junte a carne cozida reservada com o caldo, a mussarela e o tempero.","Solte delicadamente o arroz com um garfo e junte a carne cozida reservada com o caldo, a mussarela e o odor esverdeado.",cheiro-verde
"Junte a tapioca, o cheiro-verde, o sal e misture.","Junte a tapioca, o tempero, o sal e misture.","Junte a tapioca, o odor esverdeado, o sal e misture.",cheiro-verde
Acrescente metade do cheiro-verde e reserve.,Acrescente metade do tempero e reserve.,Acrescente metade do odor esverdeado e reserve.,cheiro-verde
"Intercale bifes e pimentão, cebola e cheiro-verde até acabarem os ingredientes. ","Intercale bifes e pimentão, cebola e tempero até acabarem os ingredientes. ","Intercale bifes e pimentão, cebola e odor esverdeado até acabarem os ingredientes. ",cheiro-verde
"Ele relatou que quando chegou à residência, o universitário já estava em poder de um revólver calibre 38 e que, 'em dado momento', Cade Emanuel carregou a arma 'com uma munição', iniciando o jogo da roleta russa.","Ele relatou que quando chegou à residência, o universitário já estava em poder de um revólver calibre 38 e que, 'em dado momento', Cade Emanuel carregou a arma 'com uma munição', iniciando o jogo da jogo de azar.","Ele relatou que quando chegou à residência, o universitário já estava em poder de um revólver calibre 38 e que, 'em dado momento', Cade Emanuel carregou a arma 'com uma munição', iniciando o jogo da roda moscovita.",roleta russa
O que se sabe com certeza sobre a roleta russa e que ela e uma referencia para escritores e produtores cinematograficos de todo o mundo.,O que se sabe com certeza sobre a jogo de azar e que ela e uma referencia para escritores e produtores cinematograficos de todo o mundo.,O que se sabe com certeza sobre a roda moscovita e que ela e uma referencia para escritores e produtores cinematograficos de todo o mundo.,roleta russa
O caminhão também atingiu a central de gás de um prédio que fica ao lado do centro comercial.,O caminhão também atingiu a central de gás de um prédio que fica ao lado do shopping.,O caminhão também atingiu a central de gás de um prédio que fica ao lado do congregação mercantil.,centro comercial
"Com localização estratégica e por abrigar centros de distribuição de várias marcas, a cidade de Extrema, no Sul de Minas, foi escolhida pelo grupo WTorre para a instalação de um centro comercial.","Com localização estratégica e por abrigar centros de distribuição de várias marcas, a cidade de Extrema, no Sul de Minas, foi escolhida pelo grupo WTorre para a instalação de um shopping.","Com localização estratégica e por abrigar centros de distribuição de várias marcas, a cidade de Extrema, no Sul de Minas, foi escolhida pelo grupo WTorre para a instalação de um congregação mercantil.",centro comercial
A expectativa é de que o centro comercial esteja pronto no segundo semestre de 2022.,A expectativa é de que o shopping esteja pronto no segundo semestre de 2022.,A expectativa é de que o congregação mercantil esteja pronto no segundo semestre de 2022.,centro comercial
"Em comunicado, o centro comercial explica que ""desde a primeira hora adotou todas as medidas de higiene de segurança na prevenção à pandemia"".","Em comunicado, o shopping explica que ""desde a primeira hora adotou todas as medidas de higiene de segurança na prevenção à pandemia"".","Em comunicado, o congregação mercantil explica que ""desde a primeira hora adotou todas as medidas de higiene de segurança na prevenção à pandemia"".",centro comercial
"O fato é que algumas pessoas parecem ter o sexto sentido mais aguçado e, seja por meio de um frio na barriga, um pensamento repentino, um sonho ou uma sensação diferente, sabem o melhor caminho a seguir e a melhor escolha a fazer.","O fato é que algumas pessoas parecem ter o intuição mais aguçado e, seja por meio de um frio na barriga, um pensamento repentino, um sonho ou uma sensação diferente, sabem o melhor caminho a seguir e a melhor escolha a fazer.","O fato é que algumas pessoas parecem ter o sexta percepção mais aguçado e, seja por meio de um frio na barriga, um pensamento repentino, um sonho ou uma sensação diferente, sabem o melhor caminho a seguir e a melhor escolha a fazer.",sexto sentido
