label,sentence1
0,"O colegiado, formado por representantes dos três Poderes, tende a ficar cada vez mais em segundo plano com os trabalhos da CPI roubando as atenções."
0,"Por isso, mesmo em segundo plano, o governo americano segue atento ao jihadismo global."
0,"A partir daí, a tecnologia do Face ID fica em segundo plano para que o desbloqueio do smartphone seja mais veloz."
0,"Entretanto, quem quiser se livrar das propagandas e continuar ouvindo a música em segundo plano, mesmo após minimizar a página do vídeo, precisará assinar o plano YouTube Music Premium."
1,"Comemorado no dia 9 de maio, o desfile militar do Dia da Vitória se tornou um dos feriados mais importantes do calendário russo, servindo como elo de orgulho nacional, além de tradicionalmente ser a principal data para demonstrar ao mundo o poder bélico da Rússia."
1,"A rainha Elizabeth II ficará mais um ano sem o tradicional desfile militar para comemorar seu aniversário, cancelado pela segunda vez devido à pandemia de coronavírus, informou o Palácio de Buckingham nesta sexta-feira (19)."
1,"A monarca faz 95 anos em 21 de abril, um evento que tradicionalmente é celebrado em junho com um grande desfile militar pelo centro de Londres, chamado de ""Trooping the colours"" (marchar com as bandeiras) e ao qual centenas de militares e milhares de espectadores comparecem."
1,"Os ataques das forças de segurança ocorreram simultaneamente à comemoração do Dia das Forças Armadas, que vem sendo comemorado em Naypyidó com um desfile militar presidido por Min Aung Hlaing, 64 anos."
1,"No entanto, como na maioria das adaptações, também Sangue Quente sofre as dificuldades de se colocar um livro dentro de um filme de 90 minutos."
0,"Ele era um cara esquentado, de sangue quente, mas comigo, frio."
0,"Como em todo clássico, o sangue quente apareceu."
0,"Bem ao lado dos bossa-novistas, e mesmo dentre eles, Ed Lincoln, Durval Ferreira, Orlandivo, Miltinho, Eumir Deodato, Claudio Roditi, Emílio Santiago, Wilson das Neves, Elza Soares e mais um punhado de gente com sangue quente nas veias estavam mais dispostos a fazer as pessoas dançarem em uma boate entre 23h e 4h da manhã do que passarem dias em busca de acordes perfeitos e cantos ideais."
1,"Os tritilodontídeos em geral eram semelhantes aos mamíferos: eles provavelmente tinham sangue quente e várias características esqueléticas, especialmente com seus membros, que se alinhavam mais com o que os mamíferos tinham do que seus contemporâneos reptilianos."
1,"Se sangue quente e carne de pescoço lhe parecem indigestos, proponho a seguir outra analogia, mais lúdica."
1,"O Google está trazendo ao Brasil o Nest Audio, a segunda geração de seu alto-falante inteligente que pode ser ativado com a famosa frase ""Ok, Google""."
1,"Segundo a empresa, a intenção foi construir um alto-falante potente, fino, que não ocupasse muito espaço na mobília e caso haja intenção, possa ser disfarçado como artigo de decoração."
1,"Os outros recursos do aparelho incluem funções padrão do Apple TV box, como assistir a vídeos e jogos, além de alto-falantes inteligentes para reproduzir música e usar a assistente digital Siri."
1,"Outra novidade foi o alto-falante do Microsoft Modern USB-C, que é principalmente focado em usar equipes da Microsoft."
0,"Faltando ainda dois meses para o período de alta temporada do turismo no distrito, é possível vivenciar o clima das montanhas com tarifas que chegam a ser 30% mais baixas do que no inverno."
