sentence1,sentence2,similarity
"Em uma frigideira, aqueça o óleo, frite rapidamente os feijões, tempere com sal e pimenta, finalize com o IDcheiroverdeID.","Em uma frigideira, aqueça o óleo, frite rapidamente os feijões, tempere com sal e pimenta, finalize com o tempero.",1
"Em uma frigideira, aqueça o óleo, frite rapidamente os feijões, tempere com sal e pimenta, finalize com o IDcheiroverdeID.","Em uma frigideira, aqueça o óleo, frite rapidamente os feijões, tempere com sal e pimenta, finalize com o odor esverdeado.",0.9756941
"Solte delicadamente o arroz com um garfo e junte a carne cozida reservada com o caldo, a mussarela e o IDcheiroverdeID.","Solte delicadamente o arroz com um garfo e junte a carne cozida reservada com o caldo, a mussarela e o tempero.",1
"Solte delicadamente o arroz com um garfo e junte a carne cozida reservada com o caldo, a mussarela e o IDcheiroverdeID.","Solte delicadamente o arroz com um garfo e junte a carne cozida reservada com o caldo, a mussarela e o odor esverdeado.",0.98780686
"Junte a tapioca, o IDcheiroverdeID, o sal e misture.","Junte a tapioca, o tempero, o sal e misture.",1
"Junte a tapioca, o IDcheiroverdeID, o sal e misture.","Junte a tapioca, o odor esverdeado, o sal e misture.",0.9434885
Acrescente metade do IDcheiroverdeID e reserve.,Acrescente metade do tempero e reserve.,1
Acrescente metade do IDcheiroverdeID e reserve.,Acrescente metade do odor esverdeado e reserve.,0.83699965
"Intercale bifes e pimentão, cebola e IDcheiroverdeID até acabarem os ingredientes. ","Intercale bifes e pimentão, cebola e tempero até acabarem os ingredientes. ",1
"Intercale bifes e pimentão, cebola e IDcheiroverdeID até acabarem os ingredientes. ","Intercale bifes e pimentão, cebola e odor esverdeado até acabarem os ingredientes. ",0.97409916
"Ele relatou que quando chegou à residência, o universitário já estava em poder de um revólver calibre 38 e que, 'em dado momento', Cade Emanuel carregou a arma 'com uma munição', iniciando o jogo da IDroletarussaID.","Ele relatou que quando chegou à residência, o universitário já estava em poder de um revólver calibre 38 e que, 'em dado momento', Cade Emanuel carregou a arma 'com uma munição', iniciando o jogo da jogo de azar.",1
