Multiword Expression,Literal Meaning,Non-Literal Meaning 1,Non-Literal Meaning 2,Non-Literal Meaning 3,Data Split
mailing list,address list,None,None,None,test
elbow room,joint room,space,freedom,None,test
call centre,answering service,None,None,None,test
dream ticket,fantasy ticket,ideal opportunity,None,None,test
sacred cow,divine cow,above criticism ,None,None,test
disability insurance,disability assistance,None,None,None,test
skin tone,skin color,None,None,None,test
sugar daddy,carbohydrate daddy,benefactor,None,None,test
wedding day,marriage date,None,None,None,test
peace conference,peace meeting,None,None,None,test
think tank,armored tank,research group,None,None,test
silver lining,grey lining,unexpected advantage,None,None,test
sitting duck,seated duck,easy target,None,None,test
goose egg,duck egg,bump,zero score,None,test
loan shark,debt fish,money lender,None,None,test
busy bee,unavailable bee,busy person,None,None,test
middle school,secondary school,None,None,None,test
ancient history,history,in the past,None,None,test
critical review,analysis,None,None,None,test
top dog,best dog,leader,None,None,test
entrance hall,front hall,None,None,None,test
con artist,swindler,None,None,None,test
labour union,workers union,None,None,None,test
cellular phone,phone,None,None,None,test
cooking stove,range,None,None,None,test
computer program,software,None,None,None,test
big fish,large fish,important person,None,None,test
phone book,telephone directory,None,None,None,test
narrow escape,close call,None,None,None,test
mail service,postal service,None,None,None,test
high life,expensive lifestyle,None,None,None,dev
birth rate,birth statistic,None,None,None,dev
home run,house run,baseball run,None,None,dev
public service,service helping people,public help ,None,None,dev
travel guide,guidebook,None,None,None,dev
swan song,bird song,final performance,None,None,dev
banana republic,fruit republic,politically unstable country,None,None,dev
wedding anniversary,marriage celebration,None,None,None,dev
bad apple,awful apple,troublemaker,None,None,dev
panda car,bear car,police car,None,None,dev
eager beaver,restless beaver,hard worker,None,None,dev
rice paper,paddy notepad,wrapper,None,None,dev
chain reaction,series of reactions,series of events,None,None,dev
sex bomb,function explosive,sexy person,None,None,dev
health check,health evaluation,None,None,None,dev
cotton candy,fabric candy,fluffy candy,None,None,dev
food market,grocery store,food commodity market,None,None,dev
