label,sentence1,sentence2
0,"Para tanto, basta ter as versões mais recentes dos sistemas do celular (iOS 14.5) e do smartwatch (watchOS 7.4). A partir daí, a tecnologia do Face ID fica em segundo plano para que o desbloqueio do smartphone seja mais veloz. Para desbloquear o celular usando máscara, o Apple Watch precisa estar protegido com um código de bloqueio (PIN), desbloqueado e próximo do iPhone.",segundo plano
1,"Lutaremos até que a junta militar caia”, acrescentou. Os ataques das forças de segurança ocorreram simultaneamente à comemoração do Dia das Forças Armadas, que vem sendo comemorado em Naypyidó com um desfile militar presidido por Min Aung Hlaing, 64 anos. Atos violentos que afetam a segurança e a estabilidade são inadequados”, disse o novo homem forte birmanês em um discurso na televisão, enquanto as forças de segurança mergulhavam o país em uma espiral de violência.",desfile militar
0,"Na cobrança, Chiquinho pegou firme e venceu Poli. Como em todo clássico, o sangue quente apareceu. Primeiro, Marcel soltou a mão no rosto de Thyere e levou o cartão vermelho.",sangue quente
1,"Ambos os animais tinham menos de trinta centímetros de comprimento e eram escavadores. Os tritilodontídeos em geral eram semelhantes aos mamíferos: eles provavelmente tinham sangue quente e várias características esqueléticas, especialmente com seus membros, que se alinhavam mais com o que os mamíferos tinham do que seus contemporâneos reptilianos. “Cada um dos dois representa a única espécie escavadora conhecida em seu próprio grupo (tritilodontídeos e eutriconodontanos, respectivamente);",sangue quente
1,"Adquiria o Beosound Emerge no site oficial Bang & Olufsen Segundo a empresa, a intenção foi construir um alto-falante potente, fino, que não ocupasse muito espaço na mobília e caso haja intenção, possa ser disfarçado como artigo de decoração. O design permite colocar o Beosound Emerge no final de uma estante de livros, ou em áreas pequenas.",alto-falante
0,"Evite viajar em vésperas de feriados ou datas com eventos importantes, porque nesses dias as passagens estão mais caras. O preço também varia para cima quando o destino está na alta temporada. Dê preferência para datas que não antecedam os finais de semana e procure saber em quais dias as companhias aéreas têm voos para aquela localidade.",alta temporada
0,"O longa acompanha uma atrapalhada invasão alienígena na pacata cidade de Mossingham. Após o avistamento de um disco voador e seu misterioso passageiro, a história se divide em duas frentes. Por um lado, acompanhamos a divertida jornada do ETzinho Lu-La em descobrir a cultura terrestre, enquanto do outro há a trapalhada tentativa do Fazendeiro em lucrar em cima da moda de ETs que tomou conta das redondezas após os relatos da visita alienígena.",disco voador
0,"Foi feita para qualificar pessoas, formá-las, para que tenham condição de sobreviver com sua profissão, ter dignidade e cidadania”, afirma Caiado. O aumento da cobertura do benefício confere mais estabilidade financeira ao estudante”, destaca primeira-dama O governador Ronaldo Caiado, acompanhado pela coordenadora do Gabinete de Políticas Socais (GPS) e presidente de honra da Organização das Voluntárias de Goiás (OVG), primeira-dama Gracinha Caiado, lançou, nesta terça-feira (13/04) o primeiro edital de seleção para o Programa Universitário do Bem (ProBem), com a disponibilização de 5 mil bolsas.",primeira-dama
0,"SIGA A COLUNA NAS REDES O filme acompanha Gela Kolochovi, um caixeiro viajante que circula por uma regiao rural da Republica da Georgia. Embora dirija uma caminhonete e com isso pareça prospero para a sua freguesia, e quase tao pobre quanto ela.",caixeiro viajante
1,"Meu pai sempre foi superatuante, um visionário, embora não tenha estudado marketing. Era um homem prático e objetivo”, orgulha-se Fábio, que se mudou para São Paulo em 1994, e trabalhou inicialmente como um caixeiro viajante, um representante comercial. Rapidamente, Darcy Miolo e os irmãos começaram o projeto de expansão da vinícola, que hoje tem quatro unidades, 950 hectares próprios e 15 enólogos para a produção de 10 milhões de litros de vinho por ano.",caixeiro viajante
0,"Faltam mecanismos de segurança? Ou as travas existem, mas quem deveria punir faz vista grossa? Nao se engane: aos 61 anos, Brasilia pode ter virado epicentro dos jogos enganosos no pais.",vista grossa
0,"No dia seguinte, logo ao alvorecer, reuniram-se todos no pátio do ""ashram"". O sábio ia à frente, com os discípulos seguindo em silêncio atrás, em fila indiana (literalmente). Para desespero do afoito brasileiro, no entanto, o mestre parava a cada passo, admirava a paisagem ao redor, meditava com o olhar ao longe, contemplativo.",fila indiana
0,"Veterana da televisão, ela rebateu os estereótipos enraizados na sociedade, que tratam o sexo feminino como descartável. É como se caísse em um limbo, um buraco negro"", declarou. A impressão que a atriz tem é de que a mulher está fadada ao fim da carreira após atingir a maturidade.",buraco negro
1,"Em um breve momento, Wild achou que os dois finalmente tinham se entendido, ao ver James sorrindo para quem ele pensou que era Anne. No entanto, era um alarme falso: "" Anne tinha ido para o camarim por um minuto. James estava sorrindo para a substituta dela"".",alarme falso
1,"O investimento em saneamento básico é fundamental para garantir dignidade e melhores condições de vida para milhares de famílias brasileiras. Além disso, o governo federal tem o compromisso de não deixar obras paralisadas e de terminar empreendimentos em andamento. Assim, demonstramos todo o respeito ao dinheiro pago pelo contribuinte”, destacou o ministro do Desenvolvimento Regional, Rogério Marinho.",governo federal
1,"Em meio às exonerações e nomeações, apoiadores e opositores do presidente levantaram análises, reflexões e polêmicas. Parte deles acredita que as mudanças sinalizam uma tentativa de Jair Bolsonaro (sem partido) endurecer o regime político. Outros defendem que elas refletem a necessidade do governo se fortalecer, buscando aliados em todos os poderes.",regime político
0,"Algumas pesquisas que já saíram evidenciaram que não e pontuaram que o maior responsável pelas transmissões são as aglomerações domiciliares. É mais fácil achar um bode expiatório do que encontrar a real fonte, que é dentro das nossas casas"", completou. Ainda segundo o médico, também membro do Comitê, uma das principais preocupações da prefeitura são com as aglomerações que devem ocorrer no Dia das Mães, que, neste ano, é comemorado no próximo dia 9 de maio.",bode expiatório
0,"A obra que ora resenhamos pode ser vista como uma síntese parcial das pesquisas de Abboud e trata com impressionante refino, complexidade e elegância algumas das preocupações sobre as quais o autor já discorria com propriedade em outros títulos de sua autoria ou organização As publicações de Abboud estão costuradas por um fio condutor comum: a luta pela autonomia do direito e o reconhecimento de sua relevância para a manutenção de um Estado Constitucional. Porém, em Direito Constitucional Pós-Moderno, Abboud dará um passo adiante, para resvalar um tema urgente e necessário: as limitações do direito perante as questões pós-modernas, que são tipicamente atravessadas por um alto grau de incerteza e de complexidade e para quais são insuficientes as respostas que o arquétipo jurídico tradicional é capaz de oferecer. ",fio condutor
1,"Ao se alimentarem destes compostos, as bacterias eletrogenicas naturalmente geram uma corrente eletrica que e, entao, transferida para o material condutivo sobre o qual elas formaram o biofilme. Essa corrente eletrica e coletada e migra, atraves de um circuito externo (como um fio condutor), para uma segunda camara onde ocorre uma reaçao quimica. Essa corrente eletrica que percorre o fio condutor de uma camara a outra e a eletricidade que e gerada no sistema e que pode ser utilizada para alimentar baterias ou dispositivos eletronicos.",fio condutor
0,"O despacho, publicado no Diário Oficial da União (DOU), encaminha o nome de Brandelli para apreciação do Senado Federal. O atual número dois do Itamaraty, que era braço direito do ex-ministro da pasta Ernesto Araújo, deverá ser sabatinado pela Comissão de Relações Exteriores (CRE), hoje presidida pela senadora Kátia Abreu (PP-TO). Depois, terá de ser aprovado pelos senadores durante votação em plenário.",braço direito
1,"Ja esta disponivel nas plataformas digitais o thriller ""O Braço Direito"", do diretor Rodrigo Reinhardt. Em ""O Braço Direito"" conhecemos a historia de Anselmo, um ex-investigador da Policia Civil que agora atua clandestinamente no Mercado de Açoes como o homem de confiança e ""faz-tudo"" de um magnata da Bovespa. Ele sofre de metastase (cancer generalizado) e tem pouco tempo para solucionar complexas situaçoes profissionais e pessoais.",braço direito
0,"Operações para o libertar envolveram polícias, bombeiros e agentes da proteção animal de Lufkin, no Texas. Um cão de raça pastor alemão foi encontrado preso na parte de baixo de uma carrinha.   cão terá procurado refugiar-se no carro do dono quando se assustou com uma trovoada. ",pastor alemão
0,Eu servi o Exército. Meu sonho era colocar meu filho no Colégio Militar. E esse sonho tiraram de mim.,colégio militar
1,"O terceiro-sargento da Polícia Militar do Distrito Federal (PMDF) Hamilton Castro da Silva (foto principal) faleceu nessa quarta-feira (21/4) vítima da Covid-19. Atualmente, ele trabalhava na Diretoria de Pessoal Militar (DPM), mas já serviu no Gtop 21. Também foi professor do Colégio Militar Tiradentes. A corporação emitiu nota de pesar. “Aos familiares e amigos transmitimos nossas mais sinceras condolências pela perda do valoroso combatente”, diz o texto. ",colégio militar
1,"Às vezes atuando para combater crime, outras, procurando suprimentos de necessidade básica. É a vida! Um cão policial tem muitas habilidades — detectar drogas, artigos ilícitos, ou pessoas —, mas farejando e encontrando rolo de papel higiênico, você já tinha visto? Segundo o The Dodo, o especialista em identificar o ‘artefato’ é o cão de polícia Mac, da Escócia.",papel higiênico
1,"Para ter tudo isso funcionando, precisamos do bem mais valioso, que são os nossos heróis, médicos, enfermeiros, fisioterapeutas, as pessoas que cuidam da limpeza. O HC está transformando sala cirúrgica em leito de UTI.  Esses 244 leitos de UTI estão no Instituto Central, no InCor [Instituto do Coração], no HC de Suzano.",sala cirúrgica
1,"Desde que o bitcoin foi lançado, em 2009, o gigante asiático não para de perseguir o objetivo de ter uma moeda digital soberana. A tecnologia está em análise desde 2014, mas o primeiro grande passo foi dado em fevereiro, às vésperas das celebrações do ano-novo lunar, quando o Banco Popular da China distribuiu, por sorteio, pacotes de 200 e-yuans (cerca de 170 reais) a dezenas de milhares de pessoas. A moeda digital soberana é diferente de uma criptomoeda.",ano-novo
0,"Reserve uma concha para finalizar. Em uma frigideira, aqueça o óleo, frite rapidamente os feijões, tempere com sal e pimenta, finalize com o cheiro-verde. Misture no risoto e salpique alguns grãos por cima, azeite e cheiro-verde para finalizar.",cheiro-verde
0,"Apesar de as pessoas continuarem morrendo ate hoje devido ao jogo, pouco se sabe sobre suas origens, ou o quao difundido ele realmente e. O que se sabe com certeza sobre a roleta russa e que ela e uma referencia para escritores e produtores cinematograficos de todo o mundo. Incontaveis ​​tramas foram criadas em torno do peculiar assunto.",roleta russa
1,"Este trecho do classico romance ""O Heroi do Nosso Tempo"", do grande escritor russo Mikhail Liermontov, descreve uma aposta entre dois oficiais do exercito tsarista que so precisavam descobrir se o destino era algo predeterminado ou se era controlado pelas pessoas. Na ausencia de evidencias empiricas suficientes, eles recorrem a sorte e a uma arma, realizando um experimento muito semelhante ao que hoje e amplamente conhecido como roleta russa, um misterioso ""jogo"" mortal envolto em misterio. Apesar de as pessoas continuarem morrendo ate hoje devido ao jogo, pouco se sabe sobre suas origens, ou o quao difundido ele realmente e.",roleta russa
