label,sentence1,sentence2
0,"O colegiado, formado por representantes dos três Poderes, tende a ficar cada vez mais em segundo plano com os trabalhos da CPI roubando as atenções.",nível secundário
1,"O colegiado, formado por representantes dos três Poderes, tende a ficar cada vez mais em segundo plano com os trabalhos da CPI roubando as atenções.",prioridade secundária
0,"O colegiado, formado por representantes dos três Poderes, tende a ficar cada vez mais em segundo plano com os trabalhos da CPI roubando as atenções.",executar de fundo
0,"O colegiado, formado por representantes dos três Poderes, tende a ficar cada vez mais em segundo plano com os trabalhos da CPI roubando as atenções.",Proper Noun
0,"O colegiado, formado por representantes dos três Poderes, tende a ficar cada vez mais em segundo plano com os trabalhos da CPI roubando as atenções.",Meta Usage
0,"Por isso, mesmo em segundo plano, o governo americano segue atento ao jihadismo global.",nível secundário
1,"Por isso, mesmo em segundo plano, o governo americano segue atento ao jihadismo global.",prioridade secundária
0,"Por isso, mesmo em segundo plano, o governo americano segue atento ao jihadismo global.",executar de fundo
0,"Por isso, mesmo em segundo plano, o governo americano segue atento ao jihadismo global.",Proper Noun
0,"Por isso, mesmo em segundo plano, o governo americano segue atento ao jihadismo global.",Meta Usage
0,"A partir daí, a tecnologia do Face ID fica em segundo plano para que o desbloqueio do smartphone seja mais veloz.",nível secundário
0,"A partir daí, a tecnologia do Face ID fica em segundo plano para que o desbloqueio do smartphone seja mais veloz.",prioridade secundária
1,"A partir daí, a tecnologia do Face ID fica em segundo plano para que o desbloqueio do smartphone seja mais veloz.",executar de fundo
0,"A partir daí, a tecnologia do Face ID fica em segundo plano para que o desbloqueio do smartphone seja mais veloz.",Proper Noun
0,"A partir daí, a tecnologia do Face ID fica em segundo plano para que o desbloqueio do smartphone seja mais veloz.",Meta Usage
0,"Entretanto, quem quiser se livrar das propagandas e continuar ouvindo a música em segundo plano, mesmo após minimizar a página do vídeo, precisará assinar o plano YouTube Music Premium.",nível secundário
0,"Entretanto, quem quiser se livrar das propagandas e continuar ouvindo a música em segundo plano, mesmo após minimizar a página do vídeo, precisará assinar o plano YouTube Music Premium.",prioridade secundária
1,"Entretanto, quem quiser se livrar das propagandas e continuar ouvindo a música em segundo plano, mesmo após minimizar a página do vídeo, precisará assinar o plano YouTube Music Premium.",executar de fundo
0,"Entretanto, quem quiser se livrar das propagandas e continuar ouvindo a música em segundo plano, mesmo após minimizar a página do vídeo, precisará assinar o plano YouTube Music Premium.",Proper Noun
0,"Entretanto, quem quiser se livrar das propagandas e continuar ouvindo a música em segundo plano, mesmo após minimizar a página do vídeo, precisará assinar o plano YouTube Music Premium.",Meta Usage
1,"Comemorado no dia 9 de maio, o desfile militar do Dia da Vitória se tornou um dos feriados mais importantes do calendário russo, servindo como elo de orgulho nacional, além de tradicionalmente ser a principal data para demonstrar ao mundo o poder bélico da Rússia.",parada militar
0,"Comemorado no dia 9 de maio, o desfile militar do Dia da Vitória se tornou um dos feriados mais importantes do calendário russo, servindo como elo de orgulho nacional, além de tradicionalmente ser a principal data para demonstrar ao mundo o poder bélico da Rússia.",Proper Noun
0,"Comemorado no dia 9 de maio, o desfile militar do Dia da Vitória se tornou um dos feriados mais importantes do calendário russo, servindo como elo de orgulho nacional, além de tradicionalmente ser a principal data para demonstrar ao mundo o poder bélico da Rússia.",Meta Usage
1,"A rainha Elizabeth II ficará mais um ano sem o tradicional desfile militar para comemorar seu aniversário, cancelado pela segunda vez devido à pandemia de coronavírus, informou o Palácio de Buckingham nesta sexta-feira (19).",parada militar
0,"A rainha Elizabeth II ficará mais um ano sem o tradicional desfile militar para comemorar seu aniversário, cancelado pela segunda vez devido à pandemia de coronavírus, informou o Palácio de Buckingham nesta sexta-feira (19).",Proper Noun
0,"A rainha Elizabeth II ficará mais um ano sem o tradicional desfile militar para comemorar seu aniversário, cancelado pela segunda vez devido à pandemia de coronavírus, informou o Palácio de Buckingham nesta sexta-feira (19).",Meta Usage
1,"A monarca faz 95 anos em 21 de abril, um evento que tradicionalmente é celebrado em junho com um grande desfile militar pelo centro de Londres, chamado de ""Trooping the colours"" (marchar com as bandeiras) e ao qual centenas de militares e milhares de espectadores comparecem.",parada militar
0,"A monarca faz 95 anos em 21 de abril, um evento que tradicionalmente é celebrado em junho com um grande desfile militar pelo centro de Londres, chamado de ""Trooping the colours"" (marchar com as bandeiras) e ao qual centenas de militares e milhares de espectadores comparecem.",Proper Noun
0,"A monarca faz 95 anos em 21 de abril, um evento que tradicionalmente é celebrado em junho com um grande desfile militar pelo centro de Londres, chamado de ""Trooping the colours"" (marchar com as bandeiras) e ao qual centenas de militares e milhares de espectadores comparecem.",Meta Usage
1,"Os ataques das forças de segurança ocorreram simultaneamente à comemoração do Dia das Forças Armadas, que vem sendo comemorado em Naypyidó com um desfile militar presidido por Min Aung Hlaing, 64 anos.",parada militar
0,"Os ataques das forças de segurança ocorreram simultaneamente à comemoração do Dia das Forças Armadas, que vem sendo comemorado em Naypyidó com um desfile militar presidido por Min Aung Hlaing, 64 anos.",Proper Noun
0,"Os ataques das forças de segurança ocorreram simultaneamente à comemoração do Dia das Forças Armadas, que vem sendo comemorado em Naypyidó com um desfile militar presidido por Min Aung Hlaing, 64 anos.",Meta Usage
0,"No entanto, como na maioria das adaptações, também Sangue Quente sofre as dificuldades de se colocar um livro dentro de um filme de 90 minutos.",plasma cálido
0,"No entanto, como na maioria das adaptações, também Sangue Quente sofre as dificuldades de se colocar um livro dentro de um filme de 90 minutos.",raiva impulsiva
0,"No entanto, como na maioria das adaptações, também Sangue Quente sofre as dificuldades de se colocar um livro dentro de um filme de 90 minutos.",cheio de ardor
1,"No entanto, como na maioria das adaptações, também Sangue Quente sofre as dificuldades de se colocar um livro dentro de um filme de 90 minutos.",Proper Noun
0,"No entanto, como na maioria das adaptações, também Sangue Quente sofre as dificuldades de se colocar um livro dentro de um filme de 90 minutos.",Meta Usage
0,"Ele era um cara esquentado, de sangue quente, mas comigo, frio.",plasma cálido
1,"Ele era um cara esquentado, de sangue quente, mas comigo, frio.",raiva impulsiva
0,"Ele era um cara esquentado, de sangue quente, mas comigo, frio.",cheio de ardor
0,"Ele era um cara esquentado, de sangue quente, mas comigo, frio.",Proper Noun
0,"Ele era um cara esquentado, de sangue quente, mas comigo, frio.",Meta Usage
0,"Como em todo clássico, o sangue quente apareceu.",plasma cálido
1,"Como em todo clássico, o sangue quente apareceu.",raiva impulsiva
0,"Como em todo clássico, o sangue quente apareceu.",cheio de ardor
0,"Como em todo clássico, o sangue quente apareceu.",Proper Noun
0,"Como em todo clássico, o sangue quente apareceu.",Meta Usage
0,"Bem ao lado dos bossa-novistas, e mesmo dentre eles, Ed Lincoln, Durval Ferreira, Orlandivo, Miltinho, Eumir Deodato, Claudio Roditi, Emílio Santiago, Wilson das Neves, Elza Soares e mais um punhado de gente com sangue quente nas veias estavam mais dispostos a fazer as pessoas dançarem em uma boate entre 23h e 4h da manhã do que passarem dias em busca de acordes perfeitos e cantos ideais.",plasma cálido
0,"Bem ao lado dos bossa-novistas, e mesmo dentre eles, Ed Lincoln, Durval Ferreira, Orlandivo, Miltinho, Eumir Deodato, Claudio Roditi, Emílio Santiago, Wilson das Neves, Elza Soares e mais um punhado de gente com sangue quente nas veias estavam mais dispostos a fazer as pessoas dançarem em uma boate entre 23h e 4h da manhã do que passarem dias em busca de acordes perfeitos e cantos ideais.",raiva impulsiva
1,"Bem ao lado dos bossa-novistas, e mesmo dentre eles, Ed Lincoln, Durval Ferreira, Orlandivo, Miltinho, Eumir Deodato, Claudio Roditi, Emílio Santiago, Wilson das Neves, Elza Soares e mais um punhado de gente com sangue quente nas veias estavam mais dispostos a fazer as pessoas dançarem em uma boate entre 23h e 4h da manhã do que passarem dias em busca de acordes perfeitos e cantos ideais.",cheio de ardor
0,"Bem ao lado dos bossa-novistas, e mesmo dentre eles, Ed Lincoln, Durval Ferreira, Orlandivo, Miltinho, Eumir Deodato, Claudio Roditi, Emílio Santiago, Wilson das Neves, Elza Soares e mais um punhado de gente com sangue quente nas veias estavam mais dispostos a fazer as pessoas dançarem em uma boate entre 23h e 4h da manhã do que passarem dias em busca de acordes perfeitos e cantos ideais.",Proper Noun
0,"Bem ao lado dos bossa-novistas, e mesmo dentre eles, Ed Lincoln, Durval Ferreira, Orlandivo, Miltinho, Eumir Deodato, Claudio Roditi, Emílio Santiago, Wilson das Neves, Elza Soares e mais um punhado de gente com sangue quente nas veias estavam mais dispostos a fazer as pessoas dançarem em uma boate entre 23h e 4h da manhã do que passarem dias em busca de acordes perfeitos e cantos ideais.",Meta Usage
1,"Os tritilodontídeos em geral eram semelhantes aos mamíferos: eles provavelmente tinham sangue quente e várias características esqueléticas, especialmente com seus membros, que se alinhavam mais com o que os mamíferos tinham do que seus contemporâneos reptilianos.",plasma cálido
0,"Os tritilodontídeos em geral eram semelhantes aos mamíferos: eles provavelmente tinham sangue quente e várias características esqueléticas, especialmente com seus membros, que se alinhavam mais com o que os mamíferos tinham do que seus contemporâneos reptilianos.",raiva impulsiva
0,"Os tritilodontídeos em geral eram semelhantes aos mamíferos: eles provavelmente tinham sangue quente e várias características esqueléticas, especialmente com seus membros, que se alinhavam mais com o que os mamíferos tinham do que seus contemporâneos reptilianos.",cheio de ardor
0,"Os tritilodontídeos em geral eram semelhantes aos mamíferos: eles provavelmente tinham sangue quente e várias características esqueléticas, especialmente com seus membros, que se alinhavam mais com o que os mamíferos tinham do que seus contemporâneos reptilianos.",Proper Noun
0,"Os tritilodontídeos em geral eram semelhantes aos mamíferos: eles provavelmente tinham sangue quente e várias características esqueléticas, especialmente com seus membros, que se alinhavam mais com o que os mamíferos tinham do que seus contemporâneos reptilianos.",Meta Usage
1,"Se sangue quente e carne de pescoço lhe parecem indigestos, proponho a seguir outra analogia, mais lúdica.",plasma cálido
0,"Se sangue quente e carne de pescoço lhe parecem indigestos, proponho a seguir outra analogia, mais lúdica.",raiva impulsiva
0,"Se sangue quente e carne de pescoço lhe parecem indigestos, proponho a seguir outra analogia, mais lúdica.",cheio de ardor
0,"Se sangue quente e carne de pescoço lhe parecem indigestos, proponho a seguir outra analogia, mais lúdica.",Proper Noun
0,"Se sangue quente e carne de pescoço lhe parecem indigestos, proponho a seguir outra analogia, mais lúdica.",Meta Usage
1,"O Google está trazendo ao Brasil o Nest Audio, a segunda geração de seu alto-falante inteligente que pode ser ativado com a famosa frase ""Ok, Google"".",caixa de som
0,"O Google está trazendo ao Brasil o Nest Audio, a segunda geração de seu alto-falante inteligente que pode ser ativado com a famosa frase ""Ok, Google"".",Proper Noun
0,"O Google está trazendo ao Brasil o Nest Audio, a segunda geração de seu alto-falante inteligente que pode ser ativado com a famosa frase ""Ok, Google"".",Meta Usage
1,"Segundo a empresa, a intenção foi construir um alto-falante potente, fino, que não ocupasse muito espaço na mobília e caso haja intenção, possa ser disfarçado como artigo de decoração.",caixa de som
0,"Segundo a empresa, a intenção foi construir um alto-falante potente, fino, que não ocupasse muito espaço na mobília e caso haja intenção, possa ser disfarçado como artigo de decoração.",Proper Noun
0,"Segundo a empresa, a intenção foi construir um alto-falante potente, fino, que não ocupasse muito espaço na mobília e caso haja intenção, possa ser disfarçado como artigo de decoração.",Meta Usage
1,"Os outros recursos do aparelho incluem funções padrão do Apple TV box, como assistir a vídeos e jogos, além de alto-falantes inteligentes para reproduzir música e usar a assistente digital Siri.",caixa de som
0,"Os outros recursos do aparelho incluem funções padrão do Apple TV box, como assistir a vídeos e jogos, além de alto-falantes inteligentes para reproduzir música e usar a assistente digital Siri.",Proper Noun
0,"Os outros recursos do aparelho incluem funções padrão do Apple TV box, como assistir a vídeos e jogos, além de alto-falantes inteligentes para reproduzir música e usar a assistente digital Siri.",Meta Usage
1,"Outra novidade foi o alto-falante do Microsoft Modern USB-C, que é principalmente focado em usar equipes da Microsoft.",caixa de som
0,"Outra novidade foi o alto-falante do Microsoft Modern USB-C, que é principalmente focado em usar equipes da Microsoft.",Proper Noun
0,"Outra novidade foi o alto-falante do Microsoft Modern USB-C, que é principalmente focado em usar equipes da Microsoft.",Meta Usage
0,"Faltando ainda dois meses para o período de alta temporada do turismo no distrito, é possível vivenciar o clima das montanhas com tarifas que chegam a ser 30% mais baixas do que no inverno.",elevada época
1,"Faltando ainda dois meses para o período de alta temporada do turismo no distrito, é possível vivenciar o clima das montanhas com tarifas que chegam a ser 30% mais baixas do que no inverno.",época de férias
0,"Faltando ainda dois meses para o período de alta temporada do turismo no distrito, é possível vivenciar o clima das montanhas com tarifas que chegam a ser 30% mais baixas do que no inverno.",Proper Noun
0,"Faltando ainda dois meses para o período de alta temporada do turismo no distrito, é possível vivenciar o clima das montanhas com tarifas que chegam a ser 30% mais baixas do que no inverno.",Meta Usage
0,"Consequentemente, as visitas a destinos alternativos se tornarão mais comuns para evitar viagens durante a alta temporada (52%) ou em lugares superlotados (59%).",elevada época
1,"Consequentemente, as visitas a destinos alternativos se tornarão mais comuns para evitar viagens durante a alta temporada (52%) ou em lugares superlotados (59%).",época de férias
0,"Consequentemente, as visitas a destinos alternativos se tornarão mais comuns para evitar viagens durante a alta temporada (52%) ou em lugares superlotados (59%).",Proper Noun
0,"Consequentemente, as visitas a destinos alternativos se tornarão mais comuns para evitar viagens durante a alta temporada (52%) ou em lugares superlotados (59%).",Meta Usage
0,"Era dezembro, alta temporada, depois desse ano difícil em que já havíamos passado quatro meses fechados, era complicado permanecer assim"", disse.",elevada época
1,"Era dezembro, alta temporada, depois desse ano difícil em que já havíamos passado quatro meses fechados, era complicado permanecer assim"", disse.",época de férias
0,"Era dezembro, alta temporada, depois desse ano difícil em que já havíamos passado quatro meses fechados, era complicado permanecer assim"", disse.",Proper Noun
0,"Era dezembro, alta temporada, depois desse ano difícil em que já havíamos passado quatro meses fechados, era complicado permanecer assim"", disse.",Meta Usage
0,O preço também varia para cima quando o destino está na alta temporada.,elevada época
1,O preço também varia para cima quando o destino está na alta temporada.,época de férias
0,O preço também varia para cima quando o destino está na alta temporada.,Proper Noun
0,O preço também varia para cima quando o destino está na alta temporada.,Meta Usage
0,"Ainda que as viagens fiquem aquecidas na primavera, de março a junho, e no início do outono, em setembro, o pico da alta temporada ocorre em julho e agosto.",elevada época
1,"Ainda que as viagens fiquem aquecidas na primavera, de março a junho, e no início do outono, em setembro, o pico da alta temporada ocorre em julho e agosto.",época de férias
0,"Ainda que as viagens fiquem aquecidas na primavera, de março a junho, e no início do outono, em setembro, o pico da alta temporada ocorre em julho e agosto.",Proper Noun
0,"Ainda que as viagens fiquem aquecidas na primavera, de março a junho, e no início do outono, em setembro, o pico da alta temporada ocorre em julho e agosto.",Meta Usage
0,"Após o avistamento de um disco voador e seu misterioso passageiro, a história se divide em duas frentes.",círculo voante
1,"Após o avistamento de um disco voador e seu misterioso passageiro, a história se divide em duas frentes.",ovni
0,"Após o avistamento de um disco voador e seu misterioso passageiro, a história se divide em duas frentes.",Proper Noun
0,"Após o avistamento de um disco voador e seu misterioso passageiro, a história se divide em duas frentes.",Meta Usage
0,"Entre as fotos dos finalistas, existe uma que retratou algo curioso: uma formação esbranquiçada e achatada, bastante semelhante a um disco voador, pairava acima da montanha El Chaltén.",círculo voante
1,"Entre as fotos dos finalistas, existe uma que retratou algo curioso: uma formação esbranquiçada e achatada, bastante semelhante a um disco voador, pairava acima da montanha El Chaltén.",ovni
0,"Entre as fotos dos finalistas, existe uma que retratou algo curioso: uma formação esbranquiçada e achatada, bastante semelhante a um disco voador, pairava acima da montanha El Chaltén.",Proper Noun
0,"Entre as fotos dos finalistas, existe uma que retratou algo curioso: uma formação esbranquiçada e achatada, bastante semelhante a um disco voador, pairava acima da montanha El Chaltén.",Meta Usage
0,"Mas a narrativa moderna sobre óvnis tem raízes em 1947, quando um fazendeiro encontrou um objeto em Roswell, no Estado do Novo México, inicialmente descrito como um disco voador, mas depois atribuído a um programa secreto de balões para monitorar a União Soviética.",círculo voante
1,"Mas a narrativa moderna sobre óvnis tem raízes em 1947, quando um fazendeiro encontrou um objeto em Roswell, no Estado do Novo México, inicialmente descrito como um disco voador, mas depois atribuído a um programa secreto de balões para monitorar a União Soviética.",ovni
0,"Mas a narrativa moderna sobre óvnis tem raízes em 1947, quando um fazendeiro encontrou um objeto em Roswell, no Estado do Novo México, inicialmente descrito como um disco voador, mas depois atribuído a um programa secreto de balões para monitorar a União Soviética.",Proper Noun
0,"Mas a narrativa moderna sobre óvnis tem raízes em 1947, quando um fazendeiro encontrou um objeto em Roswell, no Estado do Novo México, inicialmente descrito como um disco voador, mas depois atribuído a um programa secreto de balões para monitorar a União Soviética.",Meta Usage
0,"Pois bem, o que se vê nas imagens é o dirigível da empresa de pneus, que com uma luminosidade escura ficou parecido com um disco voador.",círculo voante
1,"Pois bem, o que se vê nas imagens é o dirigível da empresa de pneus, que com uma luminosidade escura ficou parecido com um disco voador.",ovni
0,"Pois bem, o que se vê nas imagens é o dirigível da empresa de pneus, que com uma luminosidade escura ficou parecido com um disco voador.",Proper Noun
0,"Pois bem, o que se vê nas imagens é o dirigível da empresa de pneus, que com uma luminosidade escura ficou parecido com um disco voador.",Meta Usage
0,"O aumento da cobertura do benefício confere mais estabilidade financeira ao estudante”, destaca primeira-dama",mulher inicial
1,"O aumento da cobertura do benefício confere mais estabilidade financeira ao estudante”, destaca primeira-dama",esposa de quem governa
0,"O aumento da cobertura do benefício confere mais estabilidade financeira ao estudante”, destaca primeira-dama",Proper Noun
0,"O aumento da cobertura do benefício confere mais estabilidade financeira ao estudante”, destaca primeira-dama",Meta Usage
0,"O governador Ronaldo Caiado, acompanhado pela coordenadora do Gabinete de Políticas Socais (GPS) e presidente de honra da Organização das Voluntárias de Goiás (OVG), primeira-dama Gracinha Caiado, lançou, nesta terça-feira (13/04) o primeiro edital de seleção para o Programa Universitário do Bem (ProBem), com a disponibilização de 5 mil bolsas.",mulher inicial
1,"O governador Ronaldo Caiado, acompanhado pela coordenadora do Gabinete de Políticas Socais (GPS) e presidente de honra da Organização das Voluntárias de Goiás (OVG), primeira-dama Gracinha Caiado, lançou, nesta terça-feira (13/04) o primeiro edital de seleção para o Programa Universitário do Bem (ProBem), com a disponibilização de 5 mil bolsas.",esposa de quem governa
0,"O governador Ronaldo Caiado, acompanhado pela coordenadora do Gabinete de Políticas Socais (GPS) e presidente de honra da Organização das Voluntárias de Goiás (OVG), primeira-dama Gracinha Caiado, lançou, nesta terça-feira (13/04) o primeiro edital de seleção para o Programa Universitário do Bem (ProBem), com a disponibilização de 5 mil bolsas.",Proper Noun
0,"O governador Ronaldo Caiado, acompanhado pela coordenadora do Gabinete de Políticas Socais (GPS) e presidente de honra da Organização das Voluntárias de Goiás (OVG), primeira-dama Gracinha Caiado, lançou, nesta terça-feira (13/04) o primeiro edital de seleção para o Programa Universitário do Bem (ProBem), com a disponibilização de 5 mil bolsas.",Meta Usage
0,"A coordenadora do GPS e presidente de honra da OVG, primeira-dama Gracinha Caiado, disse que a falta de credibilidade da antiga gestão travou a parceria com as IES, já que 82 delas chegaram a ficar 13 meses sem receber.",mulher inicial
1,"A coordenadora do GPS e presidente de honra da OVG, primeira-dama Gracinha Caiado, disse que a falta de credibilidade da antiga gestão travou a parceria com as IES, já que 82 delas chegaram a ficar 13 meses sem receber.",esposa de quem governa
0,"A coordenadora do GPS e presidente de honra da OVG, primeira-dama Gracinha Caiado, disse que a falta de credibilidade da antiga gestão travou a parceria com as IES, já que 82 delas chegaram a ficar 13 meses sem receber.",Proper Noun
0,"A coordenadora do GPS e presidente de honra da OVG, primeira-dama Gracinha Caiado, disse que a falta de credibilidade da antiga gestão travou a parceria com as IES, já que 82 delas chegaram a ficar 13 meses sem receber.",Meta Usage
