label,sentence1,sentence2
1,"Várias casas e prédios ao redor deste acampamento militar em Bata, capital econômica do país, ficaram destruídos e as ruas ficaram cheias de enormes escombros ao longo de centenas de metros, segundo imagens da emissora pública TVGE.",acampamento militar
1,"Ao menos 15 pessoas morreram e mais de 500 ficaram feridas neste domingo (7) em explosões causadas por ""uma negligência"" que destruíram um acampamento militar e bairros próximos na Guiné Equatorial, anunciou o presidente Teodoro Obiang Nguema em um comunicado.",acampamento militar
1,"As Mães do Terceiro Reich Em 1943, com a região da Alsácia, na França, anexada à Alemanha, jovens mulheres são levadas para um acampamento militar.",acampamento militar
1,Explosões em acampamento militar deixam 20 mortos na Guiné Equatorial,acampamento militar
1,"Varias casas e predios ao redor deste acampamento militar em Bata, capital economica do pais, ficaram destruidos e as ruas ficaram cheias de enormes escombros ao longo de centenas de metros, segundo imagens da emissora publica TVGE.",acampamento militar
1,"Até dia 18 de setembro, investigadores da Romanarmy.eu vão estar no recinto fortificado de Lomba do Mouro, uma estrutura arqueológica de enormes dimensões localizada em 2017 e situada na fronteira entre Portugal e a Galiza, nos concelhos de Melgaço (Portugal) e de Verea (Ourense), com o objetivo de validarem a hipótese de que se trata de um acampamento militar romano de caráter temporário.",acampamento militar
1,"O acampamento militar fazia parte do Failaq al-Sham, um dos maiores grupos contra Bashar al-Assad , que são apoiados pela Turquia, explicou Youssef Hammoud , porta-voz do grupo.",acampamento militar
1,"Outra fonte militar acrescentou que Keita e Cissé estão em ""um veículo blindado com destino a Kati"", um acampamento militar nos arredores da capital, Bamako, onde o motim começou na manhã desta terça.",acampamento militar
1,"Todos os dias, em frente à cela de Tirhas, em um acampamento militar na região do Tigré, soldados etíopes esperavam sua vez para estuprá-la.",acampamento militar
1,Uma menina de cinco anos foi retirada dos escombros de uma casa no acampamento militar onde ocorreu a explosão.,acampamento militar
1,"Talvez os fãs não lembrem de Bucky como um ajudante do Capitão América porque, afinal, o Soldado Invernal ganhou uma trajetória própria, mas ele foi concebido nos quadrinhos para ser o aliado sem superpoderes de Steve Rogers , o mascote do acampamento militar que representa o jovem leitor ali dentro, nas histórias.",acampamento militar
1,"Ainda nao foi colhido o depoimento das 180 pessoas libertadas, que foram levadas para um acampamento militar proximo a escola.",acampamento militar
1,"Quem poderia imaginar que, depois das lutas pela democracia, iríamos assistir a um Presidente dos Estados Unidos pregando a invasão do Congresso e, para ficarmos mais chocados ainda, veríamos a imagem de forças militares deitadas nos corredores do Capitólio como se ali fosse um acampamento militar?",acampamento militar
1,"Arnold Schwarzenegger acabou ficando em primeiro lugar nessa competição, mas por ter fugido do acampamento militar, ele foi condenado a dois ou três dias na prisão.",acampamento militar
1,"Neste momento, Elisabeth está no acampamento militar de Elsenborn, na parte oriental da Bélgica, para o treino militar que seguem todos os alunos e que tem a duração de quatro semanas.",acampamento militar
1,"Keita, que tinha sido detido na companhia do primeiro-ministro Boubou Cissé no final da tarde de terça-feira (18.08) e levado para o acampamento militar onde se iniciou um motim no início do dia.",acampamento militar
1,"A descoberta deste sitio arqueologico em um espaço rural concede a este acampamento militar uma particularidade impar, que permitira conhecer melhor o funcionamento dos exercitos romanos.",acampamento militar
1,"Até o momento se conhece apenas um centro do tipo, localizado em um acampamento militar do Exército Bolivariano no Fuerte Tiuna, na região municipal de Caracas.",acampamento militar
0,"Um trabalhador, que preferiu se manter anônimo com medo de retaliação jurídica, deu um depoimento ao ""Daily Mail"", afirmando que Ellen comandava seu próprio lar como um ""acampamento militar"".",acampamento militar
1,"Na época, a tranche forneceu US$ 1,27 bilhão em capital novo para a companhia aérea vindo de cerca de 100 credores não divulgados.",companhia aérea
1,"Outro ponto importante é que a pesagem dos passageiros não é obrigatória, mas a companhia aérea instrui para que seja uma atitude de bom grado para ajudá-la.",companhia aérea
1,"Caso você tenha um voo cancelado ou alterado, a companhia aérea entrará em contato direto, por isso é extremamente importante que você preencha corretamente os seus dados no ato da compra.",companhia aérea
1,"Os investimentos no setor aéreo foram devidamente autorizados pelo Juízo da Recuperação Judicial, os quais, não afetam o cumprimento do plano, bem como que, em um momento de crise, a concretização de uma nova companhia aérea é um marco importante, visando, principalmente, a geração de empregos e o desenvolvimento econômico do país.",companhia aérea
1,Importante também destacar que é preciso que o passageiro informe à companhia aérea os seus dados corretos de contato para receber os comunicados sobre possíveis alterações em seu voo.,companhia aérea
1,"O vice-ministro de Transporte Aéreo, Ramón Velásquez, informou em sua conta no Twitter, que a partir de 30 de abril, a companhia aérea de bandeira venezuelana poderá movimentar mercadorias para México, Rússia, Síria, Emirados Árabes Unidos, Irã, Afeganistão, Tailândia, Malásia, China, Índia, Turquia e cinco outras nações.",companhia aérea
1,"Em fevereiro de 2020, o Escritório de Controle de Ativos Estrangeiros (OFAC) do Departamento do Tesouro dos EUA sancionou a companhia aérea estatal venezuelana e bloqueou toda a sua frota como parte das ações do governo contra a Venezuela.",companhia aérea
1,"No comunicado, a empresa diz que continua com seu “olhar voltado ao futuro”, em direção ao objetivo de remover US$ 2 bilhões em custos estruturais para investir em programas-chave para clientes que “irão posicionar a companhia aérea para capitalizar na recuperação das viagens de negócios e na demanda internacional” por voos.",companhia aérea
1,"A estratégia de vender refeições completas no avião é inspirada em ação da Singapore Airlines, que foi a primeira companhia aérea a oferecer esse serviço, em dois superjumbos A380 estacionados em Changi.",companhia aérea
1,"Há 30 anos, a Avatar Airlines tenta obter uma licença para operar como uma companhia aérea regular.",companhia aérea
1,Os horários atualizados estão no site companhia aérea.,companhia aérea
1,"Uma pandemia é o melhor momento para abrir uma companhia aérea porque os custos estão muito baixos”, afirmou o CEO da Flypop, Nino Judge.",companhia aérea
1,"A adição das novas rotas reflete um aumento no interesse entre os clientes da companhia aérea, já que as pesquisas por voos para a Croácia, Grécia e Islândia aumentaram 61% em março.",companhia aérea
1,"""É inconteste a inadequação do serviço prestado pela companhia aérea, gerando transtornos que agravaram, consideravelmente, a delicada conjuntura a que já estava exposto o autor, que perdeu a irmã de forma trágica e necessitou envidar esforços para realizar o traslado do corpo de Portugal para o Brasil, tudo a justificar a pretensão indenizatória"", pontuou.",companhia aérea
1,"Em seu site na internet, a XE Jet se posiciona como uma companhia aérea apenas de Classe Executiva, que pretende ser a companhia aérea preferida para os passageiros premium.",companhia aérea
1,"No início de março, o governo do socialista Pedro Sánchez concordou em um empréstimo emergencial de 53 milhões de euros (US$ 63 milhões) para a Plus Ultra, descrita em um comunicado como ""uma companhia aérea de nicho"".",companhia aérea
1,"Peso pena -      Em novembro, o governo acordou 475 milhões de euros (US$ 565 milhões) para a Air Europa, segunda maior companhia aérea espanhola sufocada pela queda do tráfego aéreo.",companhia aérea
1,"Segundo a companhia aérea, a pane do incidente da última quarta-feira não tem relação direta com os dois outros desligamentos de motor em voo nesse ano.",companhia aérea
1,"O modelo SaaS da IBS Software suporta totalmente as necessidades iniciais da companhia aérea inicial, minimizando os custos fixos.",companhia aérea
1,A companhia aérea dos Emirados Árabes estava desde o mês passado em dúvida sobre a continuidade da aeronave em sua frota diante do atual cenário de pouca demanda em voos internacionais.,companhia aérea
1,Foi o primeiro deputado federal a morrer vítima do coronavírus no país.  ,deputado federal
1,"Deputado federal mais votado de Santa Catarina em 2018, Hélio Costa (Republicanos) está muito perto de acertar com o PSD para disputar a reeleição ano que vem.",deputado federal
1,"No entanto, faltou liga para o deputado e cúpula estadual do partido, comandada pelo ex- deputado federal Paulo Bornhausen (presidente de honra) e Camilo Martins (presidente estadual).",deputado federal
1,"Outra aposta do partido deve ser o deputado federal Célio Silveira, que está de saída do PSDB.",deputado federal
1,"O deputado federal Alcides Cidinho Rodrigues, filiado ao Patriota, também é cotado para migrar para o DEM.",deputado federal
1,"Várias vezes prefeito de Goianira — há quem defenda que a cidade passe a se chamar “Carlândia” —, Carlos Alberto Andrade Oliveira é cotado para deputado federal.",deputado federal
1,"Como pertence ao Democratas, Diego terá de apoiar um candidato a deputado federal do partido.",deputado federal
1,"O empresário está cada vez mais próximo do presidente Jair Bolsonaro, sobretudo de seus filhos, o senador Flávio Bolsonaro e o deputado federal Eduardo Bolsonaro.",deputado federal
1,Mas até os bolsonaristas avaliam que vai postular mandato de deputado federal.,deputado federal
1,Já a assessoria do deputado federal Baleia Rossi (MDB) informou que o parlamentar vai formalizar um pedido para o ministério da Saúde atender São Paulo.,deputado federal
1,"A informação foi confirmada pelo filho de Nelson, o ex-deputado federal Felipe Bornier, que chegou a ser secretário estadual de Esporte e Lazer nos mandatos de Wilson Witzel e Cláudio Castro, ambos do PSC.",deputado federal
1,"Em 2018, ele e o filho foram candidatos ao cargo de deputado federal.",deputado federal
1,"O ex-deputado federal Haroldo Lima morreu nesta quarta-feira (24) em Salvador (BA), aos 81 anos.",deputado federal
1,"Como ex-prefeito de Toledo por dois mandatos, deputado estadual e deputado federal, Schiavinato deixa um legado e um espaço vazio no meio politico, tendo em vista que representava cidades da regiao no Congresso.",deputado federal
1,Estamos em luto pelo deputado federal Jose Carlos Schiavinato.,deputado federal
1,"Quando deputado estadual e agora como deputado federal, trouxe varios recursos.",deputado federal
1,Lázaro foi deputado federal de 2015 a 2019 pelo PSC.,deputado federal
1,"Ele já foi deputado federal, chefe da Casa Civil no governo Beto Richa (PSDB) e presidente da Assembleia Legislativa do Paraná (Alep).",deputado federal
1,"O secretário da Juventude, Expedito Netto, está no segundo mandato de deputado federal.",deputado federal
1,"O secretário de Transparência, José Medeiros, está no primeiro mandato como deputado federal.",deputado federal
0,"Para te ajudar a sortear e dividir as duplas do famoso amigo secreto , separamos 5 sites eaplicativos especializados nessa tarefa.",amigo secreto
0,"A troca de presentes no amigo secreto é uma das tradições mais populares de fim de ano: é um jogo divertido em que, no fim da noite, todos os participantes saem felizes com um presente.",amigo secreto
0,"Revelado o amigo secreto, a pessoa abria o presente na câmera e mostrava para todo mundo.",amigo secreto
0,"Até no final da ligação, todos nós falamos que foi o melhor amigo secreto, porque a gente disponibilizou um tempo muito maior para aquela ação.",amigo secreto
0,"Depois, a pessoa que criou o grupo, o chamado moderador, passa a convidar os conhecidos a entrarem no amigo secreto.",amigo secreto
0,"Fernanda conta que achou o amigo secreto virtual interessante por conta, alem de outras coisas, da interatividade.",amigo secreto
0,A popular brincadeira de amigo secreto sofreu adaptação e a troca de discursos presenciais será feita em plataformas de videochamada.,amigo secreto
0,Veja o grupo em que o Amigo Secreto vai acontecer para então pensarem juntos no melhor valor para os presentes.,amigo secreto
0,"Dependendo do grupo em que o Amigo Secreto vai acontecer, nem todo mundo se conhece tão bem a ponto de saber das preferências de quem pegou no sorteio.",amigo secreto
0,A aflição na hora de comprar algo para o amigo secreto da firma só mostra o quanto nossos relacionamentos são superficiais.,amigo secreto
0,"Lembre-se: a brincadeira é de amigo secreto, e não ""amigo indesejado"" ou ""amigo desconhecido"", não é mesmo?",amigo secreto
0,"Meu amigo secreto é mais do que um amigo, eu nunca conheci um coração tão generoso, incapaz de deixar alguém na mão"", iniciou a mulher no vídeo.",amigo secreto
0,"Para celebrar tantas conquistas, o Balcão Rural convidou um time de produtores de conteúdo do universo do agro que se destacaram durante o ano para um amigo secreto totalmente digital.",amigo secreto
0,Cada participante descobriu seu amigo secreto por um aplicativo e comprou o presente do seu amigo no site do Balcão.,amigo secreto
0,"O clássico amigo secreto de fim de ano da Record TV promove trocas de presentes luxuosos entre estrelas: viagens internacionais, iPhones, entre outros itens.",amigo secreto
0,"A pesquisa estima que 66,3 milhões de pessoas participem de pelo menos algum amigo secreto no trabalho ou na família.",amigo secreto
0,"Em média, os consumidores pretendem participar de quase dois eventos de amigo secreto.",amigo secreto
0,O amigo secreto parece nunca sair de moda entre os brasileiros.,amigo secreto
0,A pessoa fecha os olhos enquanto seu amigo secreto levanta a mão para todos o identificarem.,amigo secreto
1,"Porem, acrescentar vegetais, substituir pratos de farinha branca por farinha integral e tomar sucos naturais sao algumas atitudes que podem ser feitas para aumentar a presença desse componente no dia a dia.",farinha integral
1,"Percentuais de grãos integrais entre 15% e 51% permitem o uso de embalagens com as expressões “semi-integral"" ou ""com adição de farinha integral”, enquanto percentuais inferiores impedem qualquer referência a produto “integral”.",farinha integral
1,"Empane no leite, na farinha integral e disponha em uma forma untada, uma bolinha ao lado da outra.",farinha integral
1,"“Dou preferência à farinha integral, que tem mais fibras e nutrientes que a branca, além de ser menos alergênica. Porém, às vezes um dos pais está preparando uma receita para toda a família e ninguém mais come a integral, então não teria problema o filho ingerir a branca”, pontua Adriana.",farinha integral
1,"Então, para dar início e colocar de vez a mão na massa, comece misturando a aveia e a farinha integral.",farinha integral
1,Farinha branca ou farinha integral,farinha integral
1,"Acrescente por fim a farinha, a farinha integral, a aveia e o fermento e bata até que fique homogêneo;     5.",farinha integral
1,O pão feito com maior quantidade de farinha integral vence essa batalha.,farinha integral
1,Certas pessoas podem não se adaptar ao alimento feito totalmente com a farinha integral.,farinha integral
1,"Conforme dados da Empresa Brasileira de Pesquisa Agropecuária (Embrapa), o tamanho médio de uma batata-doce de bom valor comercial é de 20 centímetros e peso médio de 300 gramas.",batata-doce
1,2 chávenas (chá) de batata-doce cozida e espremida;,batata-doce
