label,sentence1
1,"O presidente Teodoro Obiang Nguema, chefe de Estado deste pequeno país da África central há quase 42 anos, acusou os agricultores de deixar uma queimada em uma lavoura se espalhar e de ""negligência"" os militares encarregados de vigiar o arsenal. Várias casas e prédios ao redor deste acampamento militar em Bata, capital econômica do país, ficaram destruídos e as ruas ficaram cheias de enormes escombros ao longo de centenas de metros, segundo imagens da emissora pública TVGE. Muitas crianças, mulheres, homens e idosos fugiam - às vezes ajudados por outras pessoas ou mancando - de um panorama desolador, envolto em espessas nuvens de fumaça e poeira, depois de pelo menos quatro detonações assustadoras."
1,"Explosões deixam 15 mortos e 500 feridos na Guiné - TGVE/AFP Ao menos 15 pessoas morreram e mais de 500 ficaram feridas neste domingo (7) em explosões causadas por ""uma negligência"" que destruíram um acampamento militar e bairros próximos na Guiné Equatorial, anunciou o presidente Teodoro Obiang Nguema em um comunicado. Quatro fortes deflagrações arrasaram edificações deste acampamento em Bata, capital econômica do país, e muitas casas ao redor."
1,"O protagonista Alexander Pechersky vai liderar uma rebelião contra os oficiais e carrascos nazistas. As Mães do Terceiro Reich Em 1943, com a região da Alsácia, na França, anexada à Alemanha, jovens mulheres são levadas para um acampamento militar. Entre elas estão Lisette e Alice, que devem ser subservientes aos nazistas e jurar fidelidade a Hitler."
1,"Às vesperas das eleiçoes, milhares de mulheres... Explosões em acampamento militar deixam 20 mortos na Guiné Equatorial Presidente do país acusou agricultores de deixar uma queimada se espalhar e os militares de negligência"
1,"O presidente Teodoro Obiang Nguema, chefe de Estado deste pequeno pais da África central ha quase 42 anos, acusou os agricultores de deixar uma queimada em uma lavoura se espalhar e de ""negligencia"" os militares encarregados de vigiar o arsenal. Varias casas e predios ao redor deste acampamento militar em Bata, capital economica do pais, ficaram destruidos e as ruas ficaram cheias de enormes escombros ao longo de centenas de metros, segundo imagens da emissora publica TVGE. Muitas crianças, mulheres, homens e idosos fugiam - as vezes ajudados por outras pessoas ou mancando - de um panorama desolador, envolto em espessas nuvens de fumaça e poeira, depois de pelo menos quatro detonaçoes assustadoras."
1,"A confirmar-se, seria o acampamento de maiores dimensões do Noroeste Peninsular. Até dia 18 de setembro, investigadores da Romanarmy.eu vão estar no recinto fortificado de Lomba do Mouro, uma estrutura arqueológica de enormes dimensões localizada em 2017 e situada na fronteira entre Portugal e a Galiza, nos concelhos de Melgaço (Portugal) e de Verea (Ourense), com o objetivo de validarem a hipótese de que se trata de um acampamento militar romano de caráter temporário. A intervenção arqueológica é dirigida pelo investigador da University of Exeter, João Fonte, membro do coletivo de investigação Romanarmy.eu."
1,"O ataque aconteceu nesta segunda-feira, 26, na parte noroeste da província de Idlib, na Síria. O acampamento militar fazia parte do Failaq al-Sham, um dos maiores grupos contra Bashar al-Assad , que são apoiados pela Turquia, explicou Youssef Hammoud , porta-voz do grupo. Ele também acrescentou que alguns dos líderes do quartel-general acabaram falecendo no local."
1,"Nós os detivemos em suas casas"", declarou uma liderança do motim que não quis se identificar. Outra fonte militar acrescentou que Keita e Cissé estão em ""um veículo blindado com destino a Kati"", um acampamento militar nos arredores da capital, Bamako, onde o motim começou na manhã desta terça. A situação continua confusa na capital."
1,"Eles formavam fila ""como se fossem buscar água"". Todos os dias, em frente à cela de Tirhas, em um acampamento militar na região do Tigré, soldados etíopes esperavam sua vez para estuprá-la. O sofrimento da mulher de 40 anos durou duas semanas."
1,"Nesta quarta-feira, bombeiros continuavam a vasculhar os escombros para procurar por sobreviventes. Uma menina de cinco anos foi retirada dos escombros de uma casa no acampamento militar onde ocorreu a explosão. Foram decretados três dias de luto nacional, a partir da quarta-feira."
1,"Provavelmente de Robin , o Garoto Prodígio , o sidekick mais famoso das HQs, ou então de Wally West , que era o Kid Flash antes de se tornar uma das versões do Flash mais queridas dos leitores. Talvez os fãs não lembrem de Bucky como um ajudante do Capitão América porque, afinal, o Soldado Invernal ganhou uma trajetória própria, mas ele foi concebido nos quadrinhos para ser o aliado sem superpoderes de Steve Rogers , o mascote do acampamento militar que representa o jovem leitor ali dentro, nas histórias. James Buchanan Barnes, ou simplesmente Bucky Barnes, é um nome que o criador do Capitão América , Joe Simon , escolheu para homenagear um amigo de infância."
1,"Na tarde de hoje, forças de segurança patrulhavam as ruas da cidade, com a mobilizaçao, inclusive, de um aviao de combate, descreveram a AFP jornalistas locais e moradores. Ainda nao foi colhido o depoimento das 180 pessoas libertadas, que foram levadas para um acampamento militar proximo a escola. Parentes dos jovens que foram sequestrados se aglomeravam do lado de fora do estabelecimento, aguardando informaçoes."
1,"A paisagem mundial ainda está dominada pelas travessuras do Trump, que culminaram num episódio a que ninguém no mundo pensava assistir depois que os ingleses começaram a estruturar o governo democrático, há oitocentos anos, passando pela Carta do Rei João, a Revolução Gloriosa, a consolidação da Independência das Colônias Americanas — com as ideias então estruturadas a partir do rascunho da Declaração de Independência de Thomas Jefferson — e a Convenção de Filadélfia, que dominaram o pensamento político do mundo ocidental a partir das liberdades individuais e econômicas. Quem poderia imaginar que, depois das lutas pela democracia, iríamos assistir a um Presidente dos Estados Unidos pregando a invasão do Congresso e, para ficarmos mais chocados ainda, veríamos a imagem de forças militares deitadas nos corredores do Capitólio como se ali fosse um acampamento militar? Em menos de dez dias esperamos que essa pressão que varre o mundo desapareça com a posse de Biden e que se possa criar um clima com menos medo e mais tranquilidade, passando aquele arrepio de vermos a bolsa preta atrás do Trump com o código do arsenal atômico americano."
1,"Conforme revelou ao blog de James Nicolson: “Participar da competição significava tanto para mim que não pensei cuidadosamente sobre as consequências”. Arnold Schwarzenegger acabou ficando em primeiro lugar nessa competição, mas por ter fugido do acampamento militar, ele foi condenado a dois ou três dias na prisão. Ele foi logo liberado, contudo, porque os oficiais militares se sentiram “desconfortáveis” em relação a essa decisão."
1,"Tudo isto, além de um intenso treino físico. Neste momento, Elisabeth está no acampamento militar de Elsenborn, na parte oriental da Bélgica, para o treino militar que seguem todos os alunos e que tem a duração de quatro semanas. No primeiro dia, os alunos receberam o seu kit composto por uniforme militar, máscaras, saco de dormir, graxa preta, canivete, lanterna e alguns outros itens essenciais."
1,"População a celebrar a saída do Presidente Keita do poder Keita, que tinha sido detido na companhia do primeiro-ministro Boubou Cissé no final da tarde de terça-feira (18.08) e levado para o acampamento militar onde se iniciou um motim no início do dia. Apresentado como ""Presidente cessante"", Keita referiu-se depois às ""várias manifestações"" que têm vindo a exigir a sua partida há vários meses, afirmando que ""o pior aconteceu""."
1,"Em contraste ao que acontece na maioria das descobertas arqueologicas romanas, que geralmente sao encontradas por baixo de uma cidade ou de um centro urbano, este quartel-general se localziava sob um campo de milho e perto de uma mina de carvao. A descoberta deste sitio arqueologico em um espaço rural concede a este acampamento militar uma particularidade impar, que permitira conhecer melhor o funcionamento dos exercitos romanos. Miomir Korac, um dos arqueologos da escavaçao, afirmou que cerca dos 100 quarteis-generais encontrados em todo o territorio do Imperio Romano, em sua maioria, foram desenterrados sob cidades modernas, relata agencia Reuters."
1,"Equipamentos antigos também são mostrados sendo renovados para o projeto de arrecadação digital. Até o momento se conhece apenas um centro do tipo, localizado em um acampamento militar do Exército Bolivariano no Fuerte Tiuna, na região municipal de Caracas. Este mesmo centro está ao lado do Ministério do Poder Popular de Defesa."
0,"Se o ambiente de trabalho no ""The Ellen DeGeneres Show"" foi classificado como tóxico e abusivo, de acordo com um ex-funcionário, a casa da apresentadora era ainda pior. Um trabalhador, que preferiu se manter anônimo com medo de retaliação jurídica, deu um depoimento ao ""Daily Mail"", afirmando que Ellen comandava seu próprio lar como um ""acampamento militar"". O funcionário passou vários meses trabalhando em uma das exuberantes mansões que a estrela dividiu com a esposa, Portia de Rossi, na última década."
1,"A holding disse em um comunicado à Comissão de Valores Mobiliários dos EUA (SEC) que US$ 1,4 bilhão seria usado para refinanciar a Tranche A do DIP (esquema que financia a empresa desde o ano passado). Na época, a tranche forneceu US$ 1,27 bilhão em capital novo para a companhia aérea vindo de cerca de 100 credores não divulgados. Os US$ 400 milhões restantes irão para um fundo de US$ 1 bilhão que a Avianca Holdings espera ter ao sair de seu Capítulo 11."
