label,sentence1,sentence2
1,"Despite having the riches to afford the high life, PSG captain Marquinhos is still in touch with his past life before becoming a multi-millionaire footballer.",expensive lifestyle
0,"Despite having the riches to afford the high life, PSG captain Marquinhos is still in touch with his past life before becoming a multi-millionaire footballer.",Proper Noun
0,"Despite having the riches to afford the high life, PSG captain Marquinhos is still in touch with his past life before becoming a multi-millionaire footballer.",Meta Usage
1,Minister of Family and Social Policy Marlena Malag ascribed the high death rate to the pandemic and said it would take a long time for the current government program of family benefits intended to boost the birth rate to reverse the negative trend.,birth statistic
0,Minister of Family and Social Policy Marlena Malag ascribed the high death rate to the pandemic and said it would take a long time for the current government program of family benefits intended to boost the birth rate to reverse the negative trend.,Proper Noun
0,Minister of Family and Social Policy Marlena Malag ascribed the high death rate to the pandemic and said it would take a long time for the current government program of family benefits intended to boost the birth rate to reverse the negative trend.,Meta Usage
0,"So Aaron faced the same brutal racism other Black players of the era experienced, especially as the slugger approached Ruth’s home run record.",house run
1,"So Aaron faced the same brutal racism other Black players of the era experienced, especially as the slugger approached Ruth’s home run record.",baseball run
0,"So Aaron faced the same brutal racism other Black players of the era experienced, especially as the slugger approached Ruth’s home run record.",Proper Noun
0,"So Aaron faced the same brutal racism other Black players of the era experienced, especially as the slugger approached Ruth’s home run record.",Meta Usage
0,Program leaders said the scholarship defines public service broadly and imagines a variety of pathways toward civic engagement.,service helping people
1,Program leaders said the scholarship defines public service broadly and imagines a variety of pathways toward civic engagement.,public help 
0,Program leaders said the scholarship defines public service broadly and imagines a variety of pathways toward civic engagement.,Proper Noun
0,Program leaders said the scholarship defines public service broadly and imagines a variety of pathways toward civic engagement.,Meta Usage
0,"In the ensuing years, Wennberg might not have managed to knock down the parking deck, but his administration helped keep Central Vermont Public Service from moving its corporate headquarters out of the city, and after successfully fighting a number of shopping centers city officials worried would pose a threat to downtown, he negotiated a deal that kept Diamond Run Mall from hosting a movie theater or supermarket and got the city a couple million dollars in payments that funded a variety of projects through the years.",service helping people
0,"In the ensuing years, Wennberg might not have managed to knock down the parking deck, but his administration helped keep Central Vermont Public Service from moving its corporate headquarters out of the city, and after successfully fighting a number of shopping centers city officials worried would pose a threat to downtown, he negotiated a deal that kept Diamond Run Mall from hosting a movie theater or supermarket and got the city a couple million dollars in payments that funded a variety of projects through the years.",public help 
1,"In the ensuing years, Wennberg might not have managed to knock down the parking deck, but his administration helped keep Central Vermont Public Service from moving its corporate headquarters out of the city, and after successfully fighting a number of shopping centers city officials worried would pose a threat to downtown, he negotiated a deal that kept Diamond Run Mall from hosting a movie theater or supermarket and got the city a couple million dollars in payments that funded a variety of projects through the years.",Proper Noun
0,"In the ensuing years, Wennberg might not have managed to knock down the parking deck, but his administration helped keep Central Vermont Public Service from moving its corporate headquarters out of the city, and after successfully fighting a number of shopping centers city officials worried would pose a threat to downtown, he negotiated a deal that kept Diamond Run Mall from hosting a movie theater or supermarket and got the city a couple million dollars in payments that funded a variety of projects through the years.",Meta Usage
0,"Forbes Travel Guide also supports the hospitality industry and other service-oriented businesses such as luxury residential, healthcare and private clubs with bespoke training solutions, evaluation services and the creation of custom service standards.",guidebook
